STATE,STATEFP,COUNTYFP,COUNTY
AL,01,01,Autauga County
AL,01,03,Baldwin County
AL,01,05,Barbour County
AL,01,07,Bibb County
AL,01,09,Blount County
AL,01,11,Bullock County
AL,01,13,Butler County
AL,01,15,Calhoun County
AL,01,17,Chambers County
AL,01,19,Cherokee County
AL,01,21,Chilton County
AL,01,23,Choctaw County
AL,01,25,Clarke County
AL,01,27,Clay County
AL,01,29,Cleburne County
AL,01,31,Coffee County
AL,01,33,Colbert County
AL,01,35,Conecuh County
AL,01,37,Coosa County
AL,01,39,Covington County
AL,01,41,Crenshaw County
AL,01,43,Cullman County
AL,01,45,Dale County
AL,01,47,Dallas County
AL,01,49,DeKalb County
AL,01,51,Elmore County
AL,01,53,Escambia County
AL,01,55,Etowah County
AL,01,57,Fayette County
AL,01,59,Franklin County
AL,01,61,Geneva County
AL,01,63,Greene County
AL,01,65,Hale County
AL,01,67,Henry County
AL,01,69,Houston County
AL,01,71,Jackson County
AL,01,73,Jefferson County
AL,01,75,Lamar County
AL,01,77,Lauderdale County
AL,01,79,Lawrence County
AL,01,81,Lee County
AL,01,83,Limestone County
AL,01,85,Lowndes County
AL,01,87,Macon County
AL,01,89,Madison County
AL,01,91,Marengo County
AL,01,93,Marion County
AL,01,95,Marshall County
AL,01,97,Mobile County
AL,01,99,Monroe County
AL,01,101,Montgomery County
AL,01,103,Morgan County
AL,01,105,Perry County
AL,01,107,Pickens County
AL,01,109,Pike County
AL,01,111,Randolph County
AL,01,113,Russell County
AL,01,115,St. Clair County
AL,01,117,Shelby County
AL,01,119,Sumter County
AL,01,121,Talladega County
AL,01,123,Tallapoosa County
AL,01,125,Tuscaloosa County
AL,01,127,Walker County
AL,01,129,Washington County
AL,01,131,Wilcox County
AL,01,133,Winston County
AK,02,13,Aleutians East Borough
AK,02,16,Aleutians West Census Area
AK,02,20,Anchorage Municipality
AK,02,50,Bethel Census Area
AK,02,60,Bristol Bay Borough
AK,02,68,Denali Borough
AK,02,70,Dillingham Census Area
AK,02,90,Fairbanks North Star Borough
AK,02,100,Haines Borough
AK,02,105,Hoonah-Angoon Census Area
AK,02,110,Juneau City and Borough
AK,02,122,Kenai Peninsula Borough
AK,02,130,Ketchikan Gateway Borough
AK,02,150,Kodiak Island Borough
AK,02,164,Lake and Peninsula Borough
AK,02,170,Matanuska-Susitna Borough
AK,02,180,Nome Census Area
AK,02,185,North Slope Borough
AK,02,188,Northwest Arctic Borough
AK,02,195,Petersburg Census Area
AK,02,198,Prince of Wales-Hyder Census Area
AK,02,220,Sitka City and Borough
AK,02,230,Skagway Municipality
AK,02,240,Southeast Fairbanks Census Area
AK,02,261,Valdez-Cordova Census Area
AK,02,270,Wade Hampton Census Area
AK,02,275,Wrangell City and Borough
AK,02,282,Yakutat City and Borough
AK,02,290,Yukon-Koyukuk Census Area
AZ,04,01,Apache County
AZ,04,03,Cochise County
AZ,04,05,Coconino County
AZ,04,07,Gila County
AZ,04,09,Graham County
AZ,04,11,Greenlee County
AZ,04,12,La Paz County
AZ,04,13,Maricopa County
AZ,04,15,Mohave County
AZ,04,17,Navajo County
AZ,04,19,Pima County
AZ,04,21,Pinal County
AZ,04,23,Santa Cruz County
AZ,04,25,Yavapai County
AZ,04,27,Yuma County
AR,05,01,Arkansas County
AR,05,03,Ashley County
AR,05,05,Baxter County
AR,05,07,Benton County
AR,05,09,Boone County
AR,05,11,Bradley County
AR,05,13,Calhoun County
AR,05,15,Carroll County
AR,05,17,Chicot County
AR,05,19,Clark County
AR,05,21,Clay County
AR,05,23,Cleburne County
AR,05,25,Cleveland County
AR,05,27,Columbia County
AR,05,29,Conway County
AR,05,31,Craighead County
AR,05,33,Crawford County
AR,05,35,Crittenden County
AR,05,37,Cross County
AR,05,39,Dallas County
AR,05,41,Desha County
AR,05,43,Drew County
AR,05,45,Faulkner County
AR,05,47,Franklin County
AR,05,49,Fulton County
AR,05,51,Garland County
AR,05,53,Grant County
AR,05,55,Greene County
AR,05,57,Hempstead County
AR,05,59,Hot Spring County
AR,05,61,Howard County
AR,05,63,Independence County
AR,05,65,Izard County
AR,05,67,Jackson County
AR,05,69,Jefferson County
AR,05,71,Johnson County
AR,05,73,Lafayette County
AR,05,75,Lawrence County
AR,05,77,Lee County
AR,05,79,Lincoln County
AR,05,81,Little River County
AR,05,83,Logan County
AR,05,85,Lonoke County
AR,05,87,Madison County
AR,05,89,Marion County
AR,05,91,Miller County
AR,05,93,Mississippi County
AR,05,95,Monroe County
AR,05,97,Montgomery County
AR,05,99,Nevada County
AR,05,101,Newton County
AR,05,103,Ouachita County
AR,05,105,Perry County
AR,05,107,Phillips County
AR,05,109,Pike County
AR,05,111,Poinsett County
AR,05,113,Polk County
AR,05,115,Pope County
AR,05,117,Prairie County
AR,05,119,Pulaski County
AR,05,121,Randolph County
AR,05,123,St. Francis County
AR,05,125,Saline County
AR,05,127,Scott County
AR,05,129,Searcy County
AR,05,131,Sebastian County
AR,05,133,Sevier County
AR,05,135,Sharp County
AR,05,137,Stone County
