City Name,County,Latitude,Longitude,State,State Abbreviation,Zip Code
Morganton,Fannin,34.8714,-84.2115,Georgia,GA,30560
Dove Creek,Dolores,37.7632,-108.9181,Colorado,CO,81324
Belvue,Pottawatomie,39.2273,-96.1866,Kansas,KS,66407
New Berlin,Sangamon,39.7681,-89.855,Illinois,IL,62670
Denver,Denver,39.6667,-105.0854,Colorado,CO,80227
Sunland,Los Angeles,34.2669,-118.3023,California,CA,91041
Charlotte,Mecklenburg,35.0869,-80.8167,North Carolina,NC,28226
Madawaska,Aroostook,47.3294,-68.3328,Maine,ME,04756
Albany,Dougherty,31.55,-84.0612,Georgia,GA,31704
Albertville,Wright,45.2534,-93.6469,Minnesota,MN,55301
Red Lodge,Carbon,45.1965,-109.2688,Montana,MT,59068
Bridgewater,Aroostook,46.4222,-67.8415,Maine,ME,04735
Ashton,Spink,45.0465,-98.3973,South Dakota,SD,57424
Winchester,Franklin,35.1864,-86.113,Tennessee,TN,37398
Putnamville,Putnam,39.5742,-86.8653,Indiana,IN,46170
Portland,Multnomah,45.5235,-122.6762,Oregon,OR,97286
Hillsdale,Columbia,42.1868,-73.5483,New York,NY,12529
Nashville,Howard,33.9576,-93.8707,Arkansas,AR,71852
Aulander,Bertie,36.1475,-77.1141,North Carolina,NC,27805
Waddell,Maricopa,33.5673,-112.4387,Arizona,AZ,85355
Northpoint,Indiana,40.9037,-79.1257,Pennsylvania,PA,15763
Okeechobee,Okeechobee,27.4203,-80.9454,Florida,FL,34972
Watkins Glen,Schuyler,42.3771,-76.9022,New York,NY,14891
Puyallup,Pierce,47.1284,-122.3219,Washington,WA,98373
Gentry,Gentry,40.3411,-94.4142,Missouri,MO,64453
Poestenkill,Rensselaer,42.6918,-73.5627,New York,NY,12140
Ihlen,Pipestone,43.8955,-96.36399999999999,Minnesota,MN,56140
Copper Harbor,Keweenaw,47.4688,-87.8884,Michigan,MI,49918
North Canton,Stark,40.7989,-81.3784,Ohio,OH,44720
Lakeland,Polk,28.072,-81.9609,Florida,FL,33805
Lihue,Kauai,21.9816,-159.3683,Hawaii,HI,96766
Randsburg,Kern,35.3866,-117.7159,California,CA,93554
San Francisco,City and County of San Francisco,37.7856,-122.4358,California,CA,94115
Aaronsburg,Centre,40.8987,-77.4562,Pennsylvania,PA,16820
Maysville,Mason,38.6207,-83.8067,Kentucky,KY,41056
Mystic,Appanoose,40.7883,-92.9284,Iowa,IA,52574
Huachuca City,Cochise,31.6639,-110.3334,Arizona,AZ,85616
Boutte,St. Charles,29.8973,-90.3934,Louisiana,LA,70039
New Haven,New Haven,41.3082,-72.9282,Connecticut,CT,06506
Ajo,Pima,32.2295,-112.6542,Arizona,AZ,85321
Tucson,Pima,32.2974,-110.8404,Arizona,AZ,85750
Jackson,Jackson,42.2545,-84.3875,Michigan,MI,49201
Winchester,Douglas,43.2878,-123.3055,Oregon,OR,97495
Whitten,Hardin,42.2718,-93.0214,Iowa,IA,50269
Portis,Osborne,39.5455,-98.6904,Kansas,KS,67474
Morris,Litchfield,41.6881,-73.1765,Connecticut,CT,06763
Korbel,Humboldt,40.7775,-123.8486,California,CA,95550
Alachua,Alachua,29.791999999999998,-82.49600000000001,Florida,FL,32616
Cedar,Smith,39.6602,-98.9369,Kansas,KS,67628
El Granada,San Mateo,37.5101,-122.4734,California,CA,94018
Holbrook,Navajo,34.9085,-110.1434,Arizona,AZ,86025
Baton Rouge,East Baton Rouge Parish,30.5159,-91.0804,Louisiana,LA,70822
Amarillo,Potter,35.222,-101.8313,Texas,TX,79159
Sherman,Grayson,33.6435,-96.6075,Texas,TX,75090
San Antonio,Bexar,29.5863,-98.4769,Texas,TX,78232
Sacramento,Sacramento,38.5816,-121.4944,California,CA,94262
Allen,Collin,33.1186,-96.6773,Texas,TX,75013
Liberty,Gage,40.0801,-96.4804,Nebraska,NE,68381
Dillingham,Dillingham (CA),59.0402,-158.5231,Alaska,AK,99576
Compton,Los Angeles,33.9099,-118.2357,California,CA,90222
Viola,Kent,39.0419,-75.5726,Delaware,DE,19979
Brooklyn,Kings,40.6174,-74.0121,New York,NY,11228
Yatesboro,Armstrong,40.8001,-79.3342,Pennsylvania,PA,16263
Irvine,Orange,33.6899,-117.7868,California,CA,92604
Louisville,Jefferson,38.1768,-85.5218,Kentucky,KY,40299
Penn Laird,Rockingham,38.375,-78.7795,Virginia,VA,22846
Drexel Hill,Delaware,39.9503,-75.304,Pennsylvania,PA,19026
Mullin,Mills,31.5748,-98.6635,Texas,TX,76864
Irasburg,Orleans,44.8081,-72.2763,Vermont,VT,05845
Pine Bluffs,Laramie,41.1788,-104.0666,Wyoming,WY,82082
Clements,San Joaquin,38.1929,-121.0811,California,CA,95227
Beaumont,Butler,37.658,-96.5329,Kansas,KS,67012
Delray Beach,Palm Beach,26.4615,-80.0728,Florida,FL,33482
Bronx,Bronx,40.8222,-73.9217,New York,NY,10451
Houston,Harris,29.7633,-95.3633,Texas,TX,77212
Wautoma,Waushara,44.0656,-89.2666,Wisconsin,WI,54982
Colorado Springs,El Paso,38.7457,-104.7223,Colorado,CO,80911
Pleasant View,Montezuma,37.5888,-108.8095,Colorado,CO,81331
Laurel,Jones,31.7054,-89.1312,Mississippi,MS,39440
Los Indios,Cameron,26.0492,-97.745,Texas,TX,78567
Powell,Delaware,40.1834,-83.0912,Ohio,OH,43065
Granite Falls,Snohomish,48.07899999999999,-121.9428,Washington,WA,98252
Rocklake,Towner,48.8216,-99.1796,North Dakota,ND,58365
Richmond,City of Richmond,37.5242,-77.4932,Virginia,VA,23293
Stanwood,Mecosta,43.6017,-85.4446,Michigan,MI,49346
Estero,Lee,26.4351,-81.8102,Florida,FL,33928
Ulmer,Allendale,33.0988,-81.2068,South Carolina,SC,29849
Sturgis,Oktibbeha,33.357,-89.0473,Mississippi,MS,39769
Saint Louis,St. Louis,38.6565,-90.4542,Missouri,MO,63141
Piedmont,Wayne,37.1573,-90.699,Missouri,MO,63957
San Francisco,City and County of San Francisco,37.7749,-122.4194,California,CA,94151
Paris,Bourbon,38.2083,-84.245,Kentucky,KY,40361
O Brien,Haskell,33.3749,-99.8473,Texas,TX,79539
Gales Creek,Washington,45.5957,-123.234,Oregon,OR,97117
Angleton,Brazoria,29.180999999999997,-95.4467,Texas,TX,77515
Sugarcreek,Tuscarawas,40.5148,-81.6604,Ohio,OH,44681
Baton Rouge,East Baton Rouge Parish,30.4485,-91.13,Louisiana,LA,70806
Bly,Klamath,42.3995,-121.0806,Oregon,OR,97622
Creswell,Washington,35.8653,-76.4196,North Carolina,NC,27928
Myersville,Frederick,39.5282,-77.5513,Maryland,MD,21773
Pollok,Angelina,31.4291,-94.8254,Texas,TX,75969
Sevierville,Sevier,35.8452,-83.5386,Tennessee,TN,37862
Farmington,Graves,36.6,-88.5186,Kentucky,KY,42040
South Webster,Scioto,38.82,-82.7202,Ohio,OH,45682
Dallas,Dallas,32.7673,-96.7776,Texas,TX,75370
Santa Barbara,Santa Barbara,34.4208,-119.6982,California,CA,93140
Plum,Fayette,29.9349,-96.9675,Texas,TX,78952
Alamo,Hidalgo,26.1906,-98.1164,Texas,TX,78516
Clinton,Van Buren,35.6045,-92.4758,Arkansas,AR,72031
Springfield,Hampshire,39.463,-78.695,West Virginia,WV,26763
Carpenter,Clark,44.6648,-97.9168,South Dakota,SD,57322
Bronx,Bronx,40.9011,-73.9053,New York,NY,10471
Mendota,Washington,36.7223,-82.2649,Virginia,VA,24270
Crane,Harney,43.4262,-118.4642,Oregon,OR,97732
Saint Robert,Pulaski,37.8283,-92.131,Missouri,MO,65584
Burtonsville,Montgomery,39.0922,-76.9339,Maryland,MD,20866
Rolfe,Pocahontas,42.8082,-94.5166,Iowa,IA,50581
Junction City,Perry,39.6965,-82.3155,Ohio,OH,43748
Newburgh,Warrick,38.0624,-87.2452,Indiana,IN,47629
Mauriceville,Orange,30.204,-93.8866,Texas,TX,77626
Wetumpka,Elmore,32.5927,-86.2153,Alabama,AL,36092
Bethesda,Montgomery,38.9806,-77.1008,Maryland,MD,20811
Evans,Columbia,33.5412,-82.1398,Georgia,GA,30809
Hillsdale,Laramie,41.2136,-104.4933,Wyoming,WY,82060
Liberty,Randolph,35.8729,-79.5821,North Carolina,NC,27298
Lacombe,St. Tammany,30.322,-89.9297,Louisiana,LA,70445
Beaver,Floyd,37.3774,-82.6869,Kentucky,KY,41604
Copiague,Suffolk,40.6778,-73.3963,New York,NY,11726
North Loup,Valley,41.4972,-98.7858,Nebraska,NE,68859
Dallas,Dallas,32.8147,-96.7877,Texas,TX,75221
Harpswell,Cumberland,43.7811,-69.9955,Maine,ME,04079
Scottville,Ashe,36.4833,-81.3276,North Carolina,NC,28672
Indio,Riverside,33.7532,-116.2676,California,CA,92203
Canyon Country,Los Angeles,34.4262,-118.449,California,CA,91351
Severy,Greenwood,37.617,-96.2252,Kansas,KS,67137
Wixom,Oakland,42.534,-83.5285,Michigan,MI,48393
Shoals,Wayne,38.3432,-82.4905,West Virginia,WV,25562
Penfield,Clearfield,41.2085,-78.5791,Pennsylvania,PA,15849
Leander,Williamson,30.5788,-97.8531,Texas,TX,78646
Del Rio,Cocke,35.883,-83.015,Tennessee,TN,37727
Tyngsboro,Middlesex,42.6724,-71.4158,Massachusetts,MA,01879
Grassy Meadows,Greenbrier,37.8268,-80.7209,West Virginia,WV,24943
Foster,Bates,38.1661,-94.5075,Missouri,MO,64745
Titusville,Brevard,28.6122,-80.8076,Florida,FL,32783
Welch,Dawson,32.9298,-102.1278,Texas,TX,79377
Ilwaco,Pacific,46.3142,-124.0282,Washington,WA,98624
Morrison,Noble,36.2902,-97.0228,Oklahoma,OK,73061
Largo,Pinellas,27.8802,-82.7534,Florida,FL,33773
Cathedral City,Riverside,33.8098,-116.4665,California,CA,92234
Elko,Barnwell,33.3804,-81.3796,South Carolina,SC,29826
Wakeeney,Trego,39.025,-99.8796,Kansas,KS,67672
Saint Louis,St. Louis,38.6372,-90.3776,Missouri,MO,63124
Snowshoe,Pocahontas,38.388000000000005,-79.9906,West Virginia,WV,26209
Mcleod,Ransom,46.4103,-97.3139,North Dakota,ND,58057
Fremont,Dodge,41.4416,-96.4945,Nebraska,NE,68025
Scottsboro,Jackson,34.7507,-86.1422,Alabama,AL,35768
Pinehurst,Shoshone,47.5018,-116.2647,Idaho,ID,83850
New Derry,Westmoreland,40.3494,-79.3225,Pennsylvania,PA,15671
Thomasville,Thomas,30.8385,-83.9696,Georgia,GA,31792
Rossville,Walker,34.9535,-85.2968,Georgia,GA,30741
Canton,Cherokee,34.234,-84.4904,Georgia,GA,30169
Staten Island,Richmond,40.6324,-74.1171,New York,NY,10310
Miami,Miami-Dade,25.8143,-80.2051,Florida,FL,33127
Chino Hills,San Bernardino,33.9797,-117.7308,California,CA,91709
Columbus,Franklin,40.0535,-83.0187,Ohio,OH,43214
Huntly,Rappahannock,38.8129,-78.1165,Virginia,VA,22640
Quincy,Norfolk,42.2491,-70.9978,Massachusetts,MA,02169
Panama,Shelby,41.7288,-95.48700000000001,Iowa,IA,51562
Sherman,Grayson,33.6372,-96.6184,Texas,TX,75092
Inman,McPherson,38.2232,-97.7951,Kansas,KS,67546
Petersburg,Huntingdon,40.603,-77.9984,Pennsylvania,PA,16669
Vero Beach,Indian River,27.5885,-80.3923,Florida,FL,32962
Skagway,Skagway-Hoonah-Angoon,59.4685,-135.3018,Alaska,AK,99840
Riddlesburg,Bedford,40.162,-78.2545,Pennsylvania,PA,16672
Sound Beach,Suffolk,40.9567,-72.9742,New York,NY,11789
Garrett Park,Montgomery,39.0365,-77.0931,Maryland,MD,20896
Clinton,De Witt,40.1487,-88.9627,Illinois,IL,61727
Brantingham,Lewis,43.6887,-75.2921,New York,NY,13312
Roanoke,Roanoke (city),37.2717,-79.9392,Virginia,VA,24042
Moores Hill,Dearborn,39.0945,-85.0638,Indiana,IN,47032
Hansen,Twin Falls,42.5249,-114.2994,Idaho,ID,83334
Idleyld Park,Douglas,43.3237,-123.024,Oregon,OR,97447
Aberdeen,Butler,37.2539,-86.6817,Kentucky,KY,42201
Albany,Albany,42.6526,-73.7562,New York,NY,12236
Brocton,Edgar,39.6923,-87.9263,Illinois,IL,61917
Farwell,Howard,41.2204,-98.6481,Nebraska,NE,68838
Nederland,Boulder,39.9703,-105.4813,Colorado,CO,80466
Wysox,Bradford,41.7826,-76.3834,Pennsylvania,PA,18854
Alexandria,City of Alexandria,38.8044,-77.0467,Virginia,VA,22320
Letts,Louisa,41.293,-91.204,Iowa,IA,52754
Highlands,Monmouth,40.4037,-73.9915,New Jersey,NJ,07732
Waynesfield,Auglaize,40.6072,-83.9585,Ohio,OH,45896
Topeka,Shawnee,39.0154,-95.7469,Kansas,KS,66614
Russian Mission,Kusilvak,61.7744,-161.3939,Alaska,AK,99657
Eloy,Pinal,32.7509,-111.5833,Arizona,AZ,85131
Intercession City,Osceola,28.2774,-81.5069,Florida,FL,33848
Meridian,Ada,43.6121,-116.3915,Idaho,ID,83680
Fremont,Alameda,37.5176,-121.9287,California,CA,94539
Albertson,Nassau,40.7703,-73.6514,New York,NY,11507
Fredonia,Ozaukee,43.477,-87.9612,Wisconsin,WI,53021
