,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,screen name,term,time,tweet,user id
0,4,320,233,0,"[{'screen_name': 'BlackieWFangs', 'name': 'Blackie Nosferatu', 'id': 753655477939101698, 'id_str': '753655477939101698', 'indices': [0, 14]}, {'screen_name': 'BlankPetra', 'name': 'Dougs Mom 🥀', 'id': 2862271012, 'id_str': '2862271012', 'indices': [15, 26]}, {'screen_name': 'jimjoneskoolai2', 'name': 'Fiendish Dr Wu', 'id': 749913490987552769, 'id_str': '749913490987552769', 'indices': [27, 43]}, {'screen_name': 'AtlantisKane', 'name': '💀P 💀 A 💀 U 💀 L💀', 'id': 430162821, 'id_str': '430162821', 'indices': [44, 57]}, {'screen_name': 'Paul88Crazy', 'name': 'Stunt Man Mike', 'id': 1712632783, 'id_str': '1712632783', 'indices': [58, 70]}, {'screen_name': 'Localpwincess1', 'name': 'Pwincess', 'id': 3026622167, 'id_str': '3026622167', 'indices': [71, 86]}, {'screen_name': 'barmylad', 'name': 'Barmylad', 'id': 760243284816068608, 'id_str': '760243284816068608', 'indices': [87, 96]}]",0,Wed Feb 18 12:52:03 +0000 2009,7.536554779391017e+17,,Phil,14360,PW0273,blackie,Fri Sep 22 18:53:47 +0000 2017,@BlackieWFangs @BlankPetra @jimjoneskoolai2 @AtlantisKane @Paul88Crazy @Localpwincess1 @barmylad tyvm blackie......… https://t.co/MH3tdbyMdC,21192516
1,0,530,474,0,[],0,Mon Dec 26 22:11:39 +0000 2016,,Malaysia,Kopi Panas,5108,hash_1993,blackie,Fri Sep 22 18:50:30 +0000 2017,I miss my blackie 🙀 https://t.co/Beqo8InTuR,813507594769825793
2,0,1219,281,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Wed Dec 07 08:44:07 +0000 2016,548507727.0,"Nairobi, Kenya",Valentine Kamau,4918,nimu_kamau,blackie,Fri Sep 22 18:11:06 +0000 2017,@issa_blackie That was my second thought 😂😂😂,806419001303855104
3,0,1219,281,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Wed Dec 07 08:44:07 +0000 2016,548507727.0,"Nairobi, Kenya",Valentine Kamau,4918,nimu_kamau,blackie,Fri Sep 22 18:10:21 +0000 2017,"@issa_blackie 😂😂😂😂😂😂You’re bored,Sindio??",806419001303855104
4,0,2518,5001,1,"[{'screen_name': 'caitlin_blackie', 'name': 'Caitlin.', 'id': 3133265717, 'id_str': '3133265717', 'indices': [0, 16]}, {'screen_name': 'katie_shepherdd', 'name': 'Katieeee✨', 'id': 721776320380866560, 'id_str': '721776320380866560', 'indices': [17, 33]}]",0,Sun Mar 09 02:48:19 +0000 2014,3133265717.0,United Kingdom,Jake Smith,15707,JakeSmi07598801,blackie,Fri Sep 22 17:06:04 +0000 2017,@caitlin_blackie @katie_shepherdd sorry girls their not winning #PrawnAreMorePopular,2379691897
5,0,223,164,0,"[{'screen_name': 'Campuzano60', 'name': 'Gabriel Campuzano', 'id': 65969877, 'id_str': '65969877', 'indices': [3, 15]}]",1,Sun Jun 26 04:15:19 +0000 2011,,"Tucson, AZ",Albert Campuzano,6760,LBZbeEasy,blackie,Fri Sep 22 17:02:32 +0000 2017,RT @Campuzano60: Anyone else have a dog named blackie? My nana had like 2 blackies growing up. 😂,324177736
6,0,43,365,2,"[{'screen_name': 'blackieschool', 'name': 'Blackie', 'id': 857611196299583488, 'id_str': '857611196299583488', 'indices': [3, 17]}]",2,Sat Oct 23 23:14:46 +0000 2010,,"Alberta,Canada",Michael Stanford,29,stanfordmike26,blackie,Fri Sep 22 16:38:50 +0000 2017,RT @blackieschool: Blackie mid schoolers fabricate creations from recycled pallets at #recess in #fsd38 https://t.co/Nxypz76FmJ,206874300
7,1,3485,1985,0,"[{'screen_name': 'childishmari', 'name': 'cozy', 'id': 254754650, 'id_str': '254754650', 'indices': [0, 13]}]",1,Wed Feb 02 16:50:27 +0000 2011,254754650.0,jiggin on a boo ,la quica,42801,LYNTHEKILLER,blackie,Fri Sep 22 16:18:22 +0000 2017,@childishmari happy birthday blackie ❤️ love you forever &amp; always .,246352430
8,0,452,231,0,"[{'screen_name': '_TheKP', 'name': 'Life Of KP ✌', 'id': 613458462, 'id_str': '613458462', 'indices': [0, 7]}, {'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [8, 21]}, {'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [32, 45]}]",0,Sat Nov 24 05:53:08 +0000 2012,613458462.0,Nairobi,The Story of C.K.,3655,CollinsMwangi3,blackie,Fri Sep 22 15:49:39 +0000 2017,"@_TheKP @issa_blackie 😅😅
Who is @issa_blackie to judge",967443716
9,0,200,151,0,[],0,Sat Aug 15 06:18:20 +0000 2009,,"Cheyenne, Wy",Casey Nath,2217,caseystadel,blackie,Fri Sep 22 15:34:58 +0000 2017,This is blackie. https://t.co/JPkwKeIrTb,65842792
10,0,475,542,0,"[{'screen_name': 'silva_blackie', 'name': 'momther', 'id': 3291109986, 'id_str': '3291109986', 'indices': [0, 14]}]",0,Mon Aug 27 06:05:02 +0000 2012,3291109986.0,HTX,ଘWiingu,10349,_JWiing,blackie,Fri Sep 22 15:04:53 +0000 2017,"@silva_blackie ???????
Was I adopted?",783948091
11,0,628,413,0,"[{'screen_name': 'BlackMagic292', 'name': '🕊🕊🕊', 'id': 1574596496, 'id_str': '1574596496', 'indices': [0, 14]}]",0,Sat Dec 25 16:25:11 +0000 2010,1574596496.0,Ankeny YMCA,Jackson Dobesh,20905,Dobesh42,blackie,Fri Sep 22 14:57:19 +0000 2017,@BlackMagic292 Appreciate you blackie 😂,230477148
12,1,333,960,0,"[{'screen_name': 'SingleVixxen', 'name': 'Single Vixxen', 'id': 798281243884331008, 'id_str': '798281243884331008', 'indices': [0, 13]}]",0,Thu Sep 14 01:50:47 +0000 2017,7.98281243884331e+17,In the darkness,Stranger,1927,badman_or_angel,blackie,Fri Sep 22 14:47:57 +0000 2017,"@SingleVixxen Don't forget big blackie, you will need the relief",908145973880377345
13,1,385,362,0,[],0,Sat Aug 15 20:20:55 +0000 2009,,Tucson.,Gabriel Campuzano,29400,Campuzano60,blackie,Fri Sep 22 14:43:22 +0000 2017,Poor neighborhood dogs they would find would be called blackie because of their black fur. Couldn't even get a decent non racist name,65969877
14,3,385,362,0,[],1,Sat Aug 15 20:20:55 +0000 2009,,Tucson.,Gabriel Campuzano,29400,Campuzano60,blackie,Fri Sep 22 14:41:49 +0000 2017,Anyone else have a dog named blackie? My nana had like 2 blackies growing up. 😂,65969877
15,1,266,119,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Fri Dec 09 07:34:30 +0000 2011,548507727.0,Nairobi,Tony,951,_tonymugendi,blackie,Fri Sep 22 14:17:58 +0000 2017,@issa_blackie Interested,432292390
16,0,271,279,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Wed Aug 26 09:51:11 +0000 2009,548507727.0,"Nairobi, Kenya",Okeyo Akinyi,12251,awesomemoxie,blackie,Fri Sep 22 13:35:51 +0000 2017,@issa_blackie Please. Your face is fake deep. 🙊 https://t.co/NwwdDGnMQ5,68942329
17,0,19,2,0,"[{'screen_name': 'KoningMot', 'name': 'Richard Wilken', 'id': 284875218, 'id_str': '284875218', 'indices': [0, 10]}, {'screen_name': 'News24', 'name': 'News24', 'id': 14697575, 'id_str': '14697575', 'indices': [11, 18]}]",0,Tue Aug 23 13:27:12 +0000 2016,284875218.0,"Bloemfontein, South Africa",Terrence Brand,675,t9s6e8bo,blackie,Fri Sep 22 13:11:31 +0000 2017,"@KoningMot @News24 U may be right by diverting to govt,  point 1 blackie that was in govt in 1989. Point 1 blackie… https://t.co/G5neh4MYwC",768077129795923968
18,0,1538,836,0,[],0,Sat Apr 14 18:56:00 +0000 2012,,,Roadman Hak,63602,Hakedddd,blackie,Fri Sep 22 12:47:15 +0000 2017,Man hit a blackie https://t.co/UHMXtOaWKM,553755002
19,0,1707,1697,0,"[{'screen_name': 'KingMaduro', 'name': '🌴yree', 'id': 153864938, 'id_str': '153864938', 'indices': [0, 11]}, {'screen_name': 'JunDawg_', 'name': 'Taekwon Douglas 🥋', 'id': 75132193, 'id_str': '75132193', 'indices': [12, 21]}]",0,Thu Aug 04 22:51:34 +0000 2011,153864938.0,District 7,Goat Day 🍾,49632,DehChop,blackie,Fri Sep 22 12:13:09 +0000 2017,@KingMaduro @JunDawg_ Hurricane gah be blackie eating good 😭,348742243
20,0,210,402,0,"[{'screen_name': 'janler_', 'name': 'jan will suffice.,', 'id': 585910917, 'id_str': '585910917', 'indices': [0, 8]}]",0,Sun May 22 00:04:37 +0000 2011,585910917.0,Malaysia,Zenyatta Mondatta,51503,fikriamsyar18,blackie,Fri Sep 22 11:25:26 +0000 2017,@janler_ fcking blackie,302912304
21,0,281,102,0,"[{'screen_name': 'Germanbanana_', 'name': 'Heart Of Gold✨', 'id': 171286486, 'id_str': '171286486', 'indices': [0, 14]}]",0,Sat Jan 28 13:34:20 +0000 2012,171286486.0,,Kay,8263,AlaliKhaled__,blackie,Fri Sep 22 11:13:41 +0000 2017,@Germanbanana_ D-don't surprise me with blackie https://t.co/uc88D7rKuv,476770286
22,0,26,26,0,"[{'screen_name': 'DMedeles', 'name': 'Dan Medeles', 'id': 509089650, 'id_str': '509089650', 'indices': [0, 9]}]",0,Thu May 15 01:59:08 +0000 2014,509089650.0,"dallas,texas",Miguel A O,899,86miggy,blackie,Fri Sep 22 10:33:06 +0000 2017,@DMedeles danhombre blackie! i hope youve evolved since those times! my intellectual side sought you out. am i crazy? hope u get this s.o.s,2495461116
23,0,592,581,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Wed Jun 20 11:56:59 +0000 2012,548507727.0,"Nairobi,Kenya.",Life Of KP ✌,12199,_TheKP,blackie,Fri Sep 22 10:23:44 +0000 2017,@issa_blackie Maybe she don't want a nigga with a sense of direction 😂😂😂,613458462
24,0,1219,281,0,"[{'screen_name': 'issa_blackie', 'name': 'Black King', 'id': 548507727, 'id_str': '548507727', 'indices': [0, 13]}]",0,Wed Dec 07 08:44:07 +0000 2016,548507727.0,"Nairobi, Kenya",Valentine Kamau,4918,nimu_kamau,blackie,Fri Sep 22 09:56:46 +0000 2017,"@issa_blackie 😂😂😂😂ah you guys ,,,si you just let me prosper for once 😩",806419001303855104
25,1,312,352,0,"[{'screen_name': '_blackie__', 'name': 'andy black', 'id': 204403281, 'id_str': '204403281', 'indices': [0, 11]}]",0,Sat Nov 15 21:46:22 +0000 2008,204403281.0,,pennywisepeter,12499,pennywisepeter,blackie,Fri Sep 22 09:40:56 +0000 2017,@_blackie__ If only.,17413452
26,1,312,352,0,"[{'screen_name': '_blackie__', 'name': 'andy black', 'id': 204403281, 'id_str': '204403281', 'indices': [0, 11]}]",0,Sat Nov 15 21:46:22 +0000 2008,204403281.0,,pennywisepeter,12499,pennywisepeter,blackie,Fri Sep 22 09:35:47 +0000 2017,@_blackie__ I'm only going for the served hors d'oeuvres.,17413452
27,0,41,59,0,"[{'screen_name': 'ewanroslan13', 'name': 'ewnrsln', 'id': 369379570, 'id_str': '369379570', 'indices': [0, 13]}, {'screen_name': 'janler_', 'name': 'jan will suffice.,', 'id': 585910917, 'id_str': '585910917', 'indices': [14, 22]}]",0,Mon Sep 04 18:09:05 +0000 2017,369379570.0,Kuala Lumpur,Izzat Zaki,532,H4chiRoku,blackie,Fri Sep 22 09:03:22 +0000 2017,@ewanroslan13 @janler_ blackie knows wussup +1,904768292513914880
28,1,90,344,0,"[{'screen_name': '_blackie__', 'name': 'andy black', 'id': 204403281, 'id_str': '204403281', 'indices': [0, 11]}]",0,Mon Aug 18 14:42:53 +0000 2008,204403281.0,32 08'59.96 N 110 50'09.03W,C:\Burgin,782,Tristophe,blackie,Fri Sep 22 09:02:12 +0000 2017,"@_blackie__ I'm guessing he won't be playing ""Thatcher fucked the kids""",15892151
29,2,178,391,0,"[{'screen_name': 'ReallEbuka', 'name': 'Princewill', 'id': 909847741395800064, 'id_str': '909847741395800064', 'indices': [0, 11]}]",0,Tue Sep 19 07:08:03 +0000 2017,9.098477413958e+17,you mom,pindudodudo,15,pindudodudo,blackie,Fri Sep 22 09:00:57 +0000 2017,"@ReallEbuka you kan do that wit me 
blackie",910037754851004416
