,American Indian Female Population,American Indian Male Population,American Indian Population,Asian Female Population,Asian Male Population,Asian Population,Black Female Population,Black Male Population,Black Population,Female Population,Hawaiian Native Female Population,Hawaiian Native Male Population,Hawaiian Native Population,Hispanic Population,Hispanice Female Population,Hispanice Male Population,Male Population,Not a US Citizen,Total Population,US Citizen by American Parents (Born Abroad),US Citizen by Birth,US Citizen by Naturalization,White Female Population,White Male Population,White Population
Alabama,13568,10941,24509,29550,29550,65611,691141,609961,1301102,2507248,0,0,0,199686,98068,101618,2356052,104018,4863300,37329,4654606,59611,1624451,1624451,3316384
Alaska,52595,55461,108056,21916,21916,45580,10203,13550,23753,351321,4471,5466,9937,51304,23666,27638,390573,24592,741894,12779,664942,32772,255347,255347,477895
Arizona,156870,149377,306247,103495,103495,220438,144952,154722,299674,3486843,6771,7369,14140,2144775,1066552,1078223,3444228,535847,6931071,80961,5900245,399036,2601945,2601945,5254944
Arkansas,10455,8404,18859,18911,18911,41781,241592,222924,464516,1519466,0,0,0,214544,101822,112722,1468782,94308,2988248,16586,2830836,44284,1129742,1129742,2290066
California,147360,142773,290133,2651898,2651898,5602074,1140984,1124296,2265280,19758786,76124,74397,150521,15280776,7596798,7683978,19491231,5308155,39250017,461409,28035408,5369508,11699791,11699791,23420234
Colorado,27062,27681,54743,78035,78035,175951,108652,125490,234142,2749844,3894,4431,8325,1181218,578564,602654,2790701,328738,5540545,70225,4915813,215995,2338405,2338405,4654921
Connecticut,4748,5139,9887,76023,76023,161950,195693,183239,378932,1831299,0,0,0,562347,282799,279548,1745153,243777,3576452,29638,2930685,270273,1333837,1333837,2741892
Delaware,0,0,0,17644,17644,35646,110941,98970,209911,491833,0,0,0,87152,42447,44705,460232,45308,952065,8495,845571,44083,321219,321219,659091
District of Columbia,0,0,0,10685,10685,26436,175210,145344,320554,357579,0,0,0,74422,36464,37958,323591,50628,681170,10836,576860,40003,138829,138829,277268
Florida,24434,28304,52738,249509,249509,559393,1723379,1587049,3310428,10541579,6903,5637,12540,5126578,2599457,2527121,10070860,1901686,20612439,243305,15605066,2334825,7636928,7636928,15574165
Georgia,19892,18047,37939,191940,191940,398897,1736757,1517738,3254495,5292221,0,0,0,962334,455757,506577,5018150,611220,10310371,101278,9129875,427092,3000534,3000534,6054861
Hawaii,0,0,0,251958,251958,543448,8955,16943,25898,710500,71830,72738,144568,148150,71956,76194,718057,113088,1428557,31480,1121002,149397,192504,192504,357994
Idaho,13211,13385,26596,9900,9900,24406,4468,6969,11437,841937,0,0,0,207248,100599,106649,841203,60054,1683140,13004,1570997,37899,755100,755100,1510119
Illinois,13448,17022,30470,330806,330806,684783,959062,854415,1813477,6511815,0,0,0,2178790,1064853,1113937,6289724,899853,12801539,86169,10878910,883621,4504629,4504629,9123763
Indiana,8216,9299,17515,69647,69647,141451,319279,298466,617745,3365716,0,0,0,448079,218682,229397,3267337,209741,6633053,32318,6239581,139428,2728970,2728970,5536418
Iowa,5345,5143,10488,36382,36382,74805,51839,60028,111867,1578025,0,0,0,179062,86757,92305,1556668,98173,3134693,16808,2954330,62016,1404537,1404537,2834162
Kansas,10282,11338,21620,38742,38742,79741,79907,86644,166551,1458436,0,0,0,336909,161925,174984,1448853,124266,2907289,23239,2675058,81256,1221221,1221221,2458966
Kentucky,0,0,0,28272,28272,61311,185575,180582,366157,2257160,0,0,0,151920,72103,79817,2179814,95051,4436974,24754,4250439,60913,1897330,1897330,3866333
