City Name,County,Latitude,Longitude,State,State Abbreviation,Zip Code,new_lat,new_lng
Morganton,Fannin,34.8714,-84.2115,Georgia,GA,30560,34.8781613,-84.24631880000001
Dove Creek,Dolores,37.7632,-108.9181,Colorado,CO,81324,37.7661,-108.9059393
Belvue,Pottawatomie,39.2273,-96.1866,Kansas,KS,66407,39.2166634,-96.178051
New Berlin,Sangamon,39.7681,-89.855,Illinois,IL,62670,39.7253276,-89.9106632
Denver,Denver,39.6667,-105.0854,Colorado,CO,80227,39.7392358,-104.990251
Sunland,Los Angeles,34.2669,-118.3023,California,CA,91041,34.2596475,-118.3082747
Charlotte,Mecklenburg,35.0869,-80.8167,North Carolina,NC,28226,35.2270869,-80.8431267
Madawaska,Aroostook,47.3294,-68.3328,Maine,ME,04756,47.35531539999999,-68.3217027
Albany,Dougherty,31.55,-84.0612,Georgia,GA,31704,31.5785074,-84.15574099999999
Albertville,Wright,45.2534,-93.6469,Minnesota,MN,55301,45.2312337,-93.6687657
Red Lodge,Carbon,45.1965,-109.2688,Montana,MT,59068,45.1857782,-109.2468211
Bridgewater,Aroostook,46.4222,-67.8415,Maine,ME,04735,46.427822,-67.84335639999999
Ashton,Spink,45.0465,-98.3973,South Dakota,SD,57424,44.9949746,-98.4978718
Winchester,Franklin,35.1864,-86.113,Tennessee,TN,37398,35.1859163,-86.11220709999999
Putnamville,Putnam,39.5742,-86.8653,Indiana,IN,46170,39.5742119,-86.8652874
Portland,Multnomah,45.5235,-122.6762,Oregon,OR,97286,45.5230622,-122.6764815
Hillsdale,Columbia,42.1868,-73.5483,New York,NY,12529,42.1792443,-73.525026
Nashville,Howard,33.9576,-93.8707,Arkansas,AR,71852,33.9456692,-93.847129
Aulander,Bertie,36.1475,-77.1141,North Carolina,NC,27805,36.2296004,-77.1141282
Waddell,Maricopa,33.5673,-112.4387,Arizona,AZ,85355,33.57577029999999,-112.4504235
Northpoint,Indiana,40.9037,-79.1257,Pennsylvania,PA,15763,40.9035986,-79.1317607
Okeechobee,Okeechobee,27.4203,-80.9454,Florida,FL,34972,27.2439349,-80.82978279999999
Watkins Glen,Schuyler,42.3771,-76.9022,New York,NY,14891,42.3806287,-76.8732921
Puyallup,Pierce,47.1284,-122.3219,Washington,WA,98373,47.1853785,-122.2928974
Gentry,Gentry,40.3411,-94.4142,Missouri,MO,64453,40.3317511,-94.4204795
Poestenkill,Rensselaer,42.6918,-73.5627,New York,NY,12140,42.6779883,-73.5240738
Ihlen,Pipestone,43.8955,-96.364,Minnesota,MN,56140,43.9096931,-96.3697588
Copper Harbor,Keweenaw,47.4688,-87.8884,Michigan,MI,49918,47.4683113,-87.8903203
North Canton,Stark,40.7989,-81.3784,Ohio,OH,44720,40.875891,-81.4023356
Lakeland,Polk,28.072,-81.9609,Florida,FL,33805,28.0394654,-81.9498042
Lihue,Kauai,21.9816,-159.3683,Hawaii,HI,96766,21.9811111,-159.3711111
Randsburg,Kern,35.3866,-117.7159,California,CA,93554,35.3685739,-117.6581161
San Francisco,City and County of San Francisco,37.7856,-122.4358,California,CA,94115,37.7749295,-122.4194155
Aaronsburg,Centre,40.8987,-77.4562,Pennsylvania,PA,16820,40.89979030000001,-77.4533235
Maysville,Mason,38.6207,-83.8067,Kentucky,KY,41056,38.6411854,-83.744365
