,Follower Count
25073877,423
822215679726100480,339
196168350,227
16589206,225
78523300,223
22703645,220
41634520,214
818876014390603776,213
471672239,207
822215673812119553,203
18643437,203
118845216,203
818910970567344128,198
39344374,192
813286,191
457984599,191
22203756,184
50769180,174
1367531,171
29458079,166
91882544,164
39349894,159
52544275,158
818927131883356161,156
18247062,155
428333,154
23970102,151
109065990,151
5402612,148
807095,144
23022687,143
35039490,143
14669951,142
15976697,137
388983706,137
16989178,135
1339835893,132
51241574,131
759251,131
20713061,131
1652541,131
358545917,130
237348797,129
2908170952,128
26487169,127
38495835,126
216881337,125
742143,125
17980523,125
17995040,125
