,Follower Count
25073877,423
822215679726100480,339
196168350,227
16589206,225
78523300,223
22703645,220
41634520,214
818876014390603776,213
471672239,207
822215673812119553,203
18643437,203
118845216,203
818910970567344128,198
39344374,192
813286,191
457984599,191
22203756,184
50769180,174
1367531,171
29458079,166
91882544,164
39349894,159
52544275,158
818927131883356161,156
18247062,155
428333,154
23970102,151
109065990,151
5402612,148
807095,144
23022687,143
35039490,143
14669951,142
15976697,137
388983706,137
16989178,135
1339835893,132
51241574,131
759251,131
20713061,131
1652541,131
358545917,130
237348797,129
2908170952,128
26487169,127
38495835,126
216881337,125
742143,125
17980523,125
17995040,125
313038011,124
274891222,124
592730371,120
166751745,120
19017675,119
2417586104,117
15513604,115
237403203,115
462104542,115
14839147,114
47253057,112
2467791,109
1536791610,108
468646961,108
431071870,108
833232879324954624,107
16129920,107
14505245,106
25101996,106
7702542,106
313024334,104
29442313,104
2916305152,102
347627434,102
729676086632656900,102
261749735,102
23083404,102
292929271,101
1618641848,100
4761064634,98
1146358172,98
216776631,97
18646108,97
374712154,97
954124423,97
65493023,96
3318159007,96
11348282,96
15485441,95
16303106,95
4717892303,95
275276082,94
1074480192,94
3108351,94
1180379185,94
19725644,94
56561449,93
970207298,92
802300570795020288,91
28628850,91
