Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
1832,4.0,102.0,63.0,0.0,1.0,0.0,Mon Jun 20 07:52:49 +0000 2016,95764250.0,"Bakersfield, CA",Jami Sanders,858.0,kike,jews,JamiSanders16,Sun Sep 17 22:03:56 +0000 2017,@kikehndez Prayers for you and your family Kike. Sorry for your loss ??,7.448001524356219e+17,Hate speech,-0.3818,,,
1835,0.0,120.0,183.0,0.0,2.0,0.0,Thu Jun 18 22:44:17 +0000 2009,872683897.0,"the bronx, new york",Jorge Burgos,17303.0,kike,jews,JORGELUISBURGOS,Sun Sep 17 20:55:04 +0000 2017,"@KEEMSTAR @h3h3productions He says NiggetFaggot, I'm guessing I can say kike on his Twitter, BTW I'm Puerto Rican a… https://t.co/ZlKEF00rmx",48519276.0,Hate speech,0.0,,,
1837,1.0,560.0,649.0,0.0,0.0,0.0,Mon Mar 20 23:42:16 +0000 2017,,"Palisades Park, NJ",???????,6390.0,kike,jews,DacaThotSquads,Sun Sep 17 20:28:46 +0000 2017,This kike might be more annoying than Jules https://t.co/Qs1c0KzeEF,8.439709781495316e+17,Hate speech,-0.4576,,,
1839,0.0,812.0,3239.0,0.0,1.0,0.0,Fri May 01 20:04:14 +0000 2009,34409137.0,"here,calif",dodgerskingsfan,8837.0,kike,jews,dodgerskingsfan,Sun Sep 17 15:30:25 +0000 2017,"@McCulloughTimes who will get the backup OF  spot on  the playoff roster?  ethier, granderson, or kike?",37027109.0,Hate speech,0.0,,,
1842,0.0,100.0,736.0,0.0,1.0,0.0,Tue Apr 12 23:43:25 +0000 2016,38924070.0,United States,Enraged Corrupt Liar,2840.0,kike,jews,KuntEnraged,Sun Sep 17 14:41:58 +0000 2017,@bustedcoverage He's a scumbag kike.,7.200346176428524e+17,Hate speech,-0.6369,,,
1843,0.0,180.0,57.0,0.0,0.0,0.0,Wed Jan 01 06:28:02 +0000 2014,2271256814.0,badlands,daisy,24656.0,kike,jews,woizze,Sun Sep 17 13:17:50 +0000 2017,and i kike the plot twist at the end of this movie i just could stop cursing in 10 different languages.,2271256814.0,Hate speech,-0.29600000000000004,,,
1845,0.0,37.0,64.0,0.0,2.0,0.0,Thu Jul 06 20:32:19 +0000 2017,2178351553.0,"Wisconsin, USA",PROUD AMERICAN ??,2291.0,kike,jews,VinsmokeWho,Sun Sep 17 04:34:24 +0000 2017,@Enkeisiar @Mumkey_Jones Dumb kike show,8.830610655710659e+17,Hate speech,-0.5106,,,
1848,0.0,168.0,353.0,0.0,1.0,0.0,Mon Jun 05 17:41:55 +0000 2017,8.696041121612636e+17,Columbine,0sc@r,1024.0,yid,jews,CriminalCullen,Mon Sep 25 14:21:46 +0000 2017,"@DeclanFriedRice Ciaran the problem is that yid is a racist word and pikey isn't, that's why",8.717841579149885e+17,Hate speech,-0.7717,,,
1852,0.0,1112.0,2975.0,0.0,4.0,0.0,Thu Jul 06 08:34:20 +0000 2017,4897338995.0,south,greg doyle,4818.0,yid,jews,reg_geloyd,Sun Sep 24 20:59:57 +0000 2017,@steve_seymou10 @PDGHammer @oljay99 @SpursInTheBlood but you say yid they go mad. Lol they call themselves yid army,8.828803781676032e+17,Hate speech,-0.1531,,,
1853,0.0,328.0,3201.0,1.0,0.0,0.0,Thu Aug 27 20:41:16 +0000 2015,,NY/NJ,(((Oren Glickman))),6508.0,yid,jews,GlickmanOren,Sun Sep 24 16:11:43 +0000 2017,My yid Tomer Hemed getting on the scoresheet #BRINEW,3461300141.0,Hate speech,0.0,,,
