Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score
19,0.0,13.0,244.0,0.0,2.0,0.0,Fri Sep 27 02:10:28 +0000 2013,21696279.0,"NJ, USA",Eric David,158.0,black people are,black,ericdavid70,Sun Sep 24 23:34:10 +0000 2017,@brianbeutler @jonathanchait Props to successful black people who remember who they are. Too many white people got… https://t.co/s6100sBw7v,1909779540.0,Neither,-0.7717
24,13.0,177.0,252.0,0.0,2.0,0.0,Tue Mar 14 12:58:51 +0000 2017,368838415.0,"California, USA",Debbie Sweeney,3885.0,black people are,black,debbersdarling,Sun Sep 24 23:31:53 +0000 2017,"@attitudeforty5 @WalshFreedom They are using their platform to fight bigotry and racism, black people who are shot… https://t.co/gNudvjpxqD",8.416347315234693e+17,Neither,-0.8689
27,0.0,1028.0,2191.0,0.0,2.0,0.0,Sun Sep 04 03:31:13 +0000 2011,7.739091125770322e+17,"Hattiesburg, MS",illmaculate,966.0,black people are,black,cmacswavagang,Sun Sep 24 23:30:21 +0000 2017,@adriansgnm @ScottPresler Nazi's protest are called fine people a black dude does it he is a thug his mom a bitch an he should be fired,367526678.0,Offensive language,-0.5574
30,0.0,163.0,62.0,0.0,1.0,0.0,Sun Apr 30 16:20:50 +0000 2017,594175899.0,"West Palm Beach, FL",Brittney Henry,1817.0,black people are,black,brittdaymare,Sun Sep 24 23:29:47 +0000 2017,@Mikel_Jollett Black men and women are people too? 😒😒😒😒😒,8.587177911883735e+17,Neither,-0.8442
43,0.0,2172.0,315.0,0.0,4.0,0.0,Tue Jan 29 06:47:33 +0000 2008,12818342.0,"Chicago,Il",SnorkyJr,82150.0,black people are,black,SnorkyJr,Sun Sep 24 23:25:10 +0000 2017,"@jabezlebret @DrMMs3 @JSwanson77 @Liz_Wheeler That the cops are killing black people. Hey, start at the top of the… https://t.co/M3UF2ngC9i",12818342.0,Neither,-0.5806
50,1.0,196.0,258.0,0.0,0.0,0.0,Wed Jun 18 23:47:52 +0000 2014,,"new york, ny",benny wit da semi.,741.0,black people are,black,babybenoit,Sun Sep 24 23:22:29 +0000 2017,all the black people in media are fighting back and it brings tears to my eyes.,2621448712.0,Neither,-0.7154
59,0.0,3556.0,2913.0,0.0,3.0,0.0,Wed Dec 02 19:14:09 +0000 2009,36199806.0,"Oakland, CA",Jerry,83149.0,black people are,black,js_edit,Sun Sep 24 23:19:09 +0000 2017,@tomg60 @HowardKurtz @ckchumley That's why you assume black people are criminals and police can do no wrong. You are both fair and balanced.,94154691.0,Neither,-0.6597
60,0.0,109.0,205.0,0.0,0.0,0.0,Mon Oct 03 01:59:20 +0000 2011,,"Bexley, OH",Chip A. Bastard,5100.0,black people are,black,chip_bastard,Sun Sep 24 23:19:04 +0000 2017,Why are black people so noisy?,384090138.0,Neither,-0.5719
65,0.0,24.0,109.0,0.0,1.0,0.0,Tue Aug 22 02:12:48 +0000 2017,8.427451590328279e+17,Allen tx,Kendall Green,191.0,black people are,black,greenkendall13,Sun Sep 24 23:18:08 +0000 2017,@VivaLaAmesX Are you more upset people were killed or that he's black,8.998165952996311e+17,Neither,-0.8481
68,1.0,5171.0,5025.0,0.0,8.0,0.0,Fri Jan 27 19:54:08 +0000 2017,337430513.0,California,R&R,58704.0,black people are,black,RoryGilligan1,Sun Sep 24 23:17:24 +0000 2017,@KingEdwardElam @meshell5683 @douggie64_van @mzgee41 @ReiserWilliam @Lorilulu62 @watchyourspeed @Mexicanpov… https://t.co/BNVSovOKam,8.250694005249352e+17,Neither,-0.7088
