State,Total Population,State Abbr,black,jews,muslim,norm_black,norm_jewish,norm_muslim,total_count,total_norm,Normalized Population,P-Value
Alabama,4863300,AL,1.0,1.0,4.0,2.056216972014887e-05,2.056216972014887e-05,8.22486788805955e-05,6,0.00012337301832089322,0.0154233062499,0.149366843283
Alaska,741894,AK,1.0,0.0,1.0,0.0001347901452229025,0.0,0.0001347901452229025,2,0.00026958029044580494,0.00235281770958,0.699458766376
Arizona,6931071,AZ,1.0,0.0,4.0,1.4427784681472749e-05,0.0,5.7711138725890994e-05,5,7.213892340736375e-05,0.0219809657379,0.000123543300866
Arkansas,2988248,AR,3.0,1.0,3.0,0.00010039327391836286,3.346442463945429e-05,0.00010039327391836286,7,0.00023425097247618002,0.0094768293247,0.665643636157
California,39250017,CA,30.0,31.0,17.0,7.643308791433135e-05,7.898085751147573e-05,4.331208315145443e-05,78,0.0001987260285772615,0.12447618541,0.903235870605
Colorado,5540545,CO,4.0,0.0,3.0,7.219506384299741e-05,0.0,5.414629788224804e-05,7,0.00012634136172524544,0.0175710982926,0.144691115494
Connecticut,3576452,CT,2.0,2.0,1.0,5.592134327540255e-05,5.592134327540255e-05,2.796067163770127e-05,5,0.0001398033581885064,0.0113422397311,0.368824216273
Delaware,952065,DE,3.0,1.0,0.0,0.00031510453592979465,0.00010503484530993156,0.0,4,0.0004201393812397263,0.00301934695883,0.285961508027
District of Columbia,681170,DC,8.0,10.0,1.0,0.0011744498436513644,0.0014680623045642055,0.00014680623045642058,19,0.002789318378671991,0.00216023965585,5.06407083414e-05
Florida,20612439,FL,19.0,13.0,14.0,9.217734980319408e-05,6.306871302323805e-05,6.792015248656405e-05,46,0.0002231662153129962,0.0653695966227,0.408855052915
Georgia,10310371,GA,10.0,5.0,4.0,9.69897203505092e-05,4.84948601752546e-05,3.879588814020369e-05,19,0.00018428046866596752,0.032697964239,0.781792804554
Idaho,1683140,ID,0.0,1.0,0.0,0.0,5.9412764238268955e-05,0.0,1,5.9412764238268955e-05,0.00533785365524,0.021516786652
Illinois,12801539,IL,11.0,2.0,6.0,8.592716860058779e-05,1.5623121563743236e-05,4.68693646912297e-05,19,0.0001484196548555607,0.0405983707498,0.162384926956
Indiana,6633053,IN,1.0,3.0,3.0,1.5076014016471753e-05,4.522804204941526e-05,4.522804204941526e-05,7,0.00010553209811530225,0.0210358414638,0.023338713939
Kansas,2907289,KS,1.0,2.0,1.0,3.439630528647135e-05,6.87926105729427e-05,3.439630528647135e-05,4,0.0001375852211458854,0.00922007867171,0.395878720427
Kentucky,4436974,KY,2.0,3.0,2.0,4.5075765600609776e-05,6.761364840091467e-05,4.5075765600609776e-05,7,0.00015776517960213422,0.0140712702949,0.521493347071
Louisiana,4681666,LA,8.0,2.0,3.0,0.0001708793408158549,4.2719835203963724e-05,6.407975280594557e-05,13,0.00027767892882576414,0.0148472782839,0.288829002317
Maine,1331479,ME,1.0,0.0,0.0,7.51044515159458e-05,0.0,0.0,1,7.51044515159458e-05,0.00422260777299,0.107491648614
Maryland,6016447,MD,6.0,5.0,1.0,9.972663267872218e-05,8.310552723226848e-05,1.66211054464537e-05,12,0.00019945326535744442,0.0190803579087,0.952042310598
Massachusetts,6811779,MA,3.0,5.0,3.0,4.4041358358807595e-05,7.3402263931346e-05,4.4041358358807595e-05,11,0.00016148498064896117,0.0216026470964,0.478520862049
Michigan,9928300,MI,16.0,9.0,7.0,0.00016115548482620388,9.064996021473969e-05,7.05055246114642e-05,32,0.00032231096965240776,0.0314862771043,0.026620040393
Minnesota,5519952,MN,3.0,5.0,2.0,5.4348298680858084e-05,9.058049780143017e-05,3.6232199120572056e-05,10,0.0001811609956028603,0.0175057903442,0.795745246667
Mississippi,2988726,MS,5.0,1.0,7.0,0.00016729536263946582,3.3459072527893155e-05,0.0002342135076952521,13,0.00043496794286261104,0.00947834523784,0.0475975890238
Missouri,6093000,MO,7.0,2.0,1.0,0.00011488593467913999,3.282455276546857e-05,1.6412276382734287e-05,10,0.00016412276382734285,0.0193231355213,0.539202665341
Nebraska,1907116,NE,0.0,0.0,2.0,0.0,0.0,0.00010487039068415345,2,0.00010487039068415345,0.00604816361774,0.219152271187
Nevada,2940058,NV,4.0,1.0,2.0,0.00013605173775483342,3.401293443870836e-05,6.802586887741671e-05,7,0.00023809054107095848,0.00932400117752,0.639904388871
New Jersey,8944469,NJ,7.0,5.0,2.0,7.82606547129852e-05,5.590046765213227e-05,2.2360187060852915e-05,14,0.0001565213094259704,0.0283661885202,0.345417954375
New Mexico,2081015,NM,0.0,1.0,2.0,0.0,4.805347390576233e-05,9.610694781152466e-05,3,0.00014416042171728702,0.00659966106466,0.533465426824
New York,19745289,NY,20.0,22.0,13.0,0.00010128998365129018,0.00011141898201641921,6.583848937333862e-05,55,0.000278547455041048,0.0626195462424,0.0279458656302
North Carolina,10146788,NC,8.0,3.0,5.0,7.884268400995468e-05,2.9566006503733002e-05,4.9276677506221664e-05,16,0.00015768536801990935,0.032179182608,0.331207587591
North Dakota,757953,ND,0.0,1.0,0.0,0.0,0.00013193430199497859,0.0,1,0.00013193430199497859,0.00240374668272,0.627310896301
