,State,Total Population,State Abbr,black,jews,muslim,norm_black,norm_jewish,norm_muslim,total_count,total_norm
0,Alabama,4863300,AL,1.0,1.0,4.0,2.056216972014887e-05,2.056216972014887e-05,8.224867888059549e-05,6.0,0.00012337301832089322
1,Alaska,741894,AK,1.0,0.0,1.0,0.00013479014522290247,0.0,0.00013479014522290247,2.0,0.00026958029044580494
2,Arizona,6931071,AZ,1.0,0.0,4.0,1.4427784681472747e-05,0.0,5.771113872589099e-05,5.0,7.213892340736374e-05
3,Arkansas,2988248,AR,3.0,1.0,3.0,0.00010039327391836286,3.346442463945429e-05,0.00010039327391836286,7.0,0.00023425097247618004
4,California,39250017,CA,30.0,31.0,17.0,7.643308791433135e-05,7.898085751147573e-05,4.331208315145443e-05,78.0,0.0001987260285772615
5,Colorado,5540545,CO,4.0,0.0,3.0,7.21950638429974e-05,0.0,5.414629788224804e-05,7.0,0.00012634136172524544
6,Connecticut,3576452,CT,2.0,2.0,1.0,5.5921343275402545e-05,5.5921343275402545e-05,2.7960671637701272e-05,5.0,0.0001398033581885064
7,Delaware,952065,DE,3.0,1.0,0.0,0.0003151045359297947,0.00010503484530993157,0.0,4.0,0.0004201393812397263
8,District of Columbia,681170,DC,8.0,10.0,1.0,0.0011744498436513646,0.0014680623045642057,0.00014680623045642058,19.0,0.0027893183786719907
9,Florida,20612439,FL,19.0,13.0,14.0,9.217734980319408e-05,6.306871302323805e-05,6.792015248656405e-05,46.0,0.0002231662153129962
10,Georgia,10310371,GA,10.0,5.0,4.0,9.69897203505092e-05,4.84948601752546e-05,3.8795888140203685e-05,19.0,0.0001842804686659675
12,Idaho,1683140,ID,0.0,1.0,0.0,0.0,5.9412764238268955e-05,0.0,1.0,5.9412764238268955e-05
13,Illinois,12801539,IL,11.0,2.0,6.0,8.592716860058779e-05,1.5623121563743236e-05,4.6869364691229704e-05,19.0,0.00014841965485556073
14,Indiana,6633053,IN,1.0,3.0,3.0,1.5076014016471751e-05,4.5228042049415255e-05,4.5228042049415255e-05,7.0,0.00010553209811530225
16,Kansas,2907289,KS,1.0,2.0,1.0,3.439630528647135e-05,6.87926105729427e-05,3.439630528647135e-05,4.0,0.0001375852211458854
17,Kentucky,4436974,KY,2.0,3.0,2.0,4.507576560060978e-05,6.761364840091467e-05,4.507576560060978e-05,7.0,0.00015776517960213425
18,Louisiana,4681666,LA,8.0,2.0,3.0,0.00017087934081585487,4.271983520396372e-05,6.407975280594557e-05,13.0,0.00027767892882576414
19,Maine,1331479,ME,1.0,0.0,0.0,7.51044515159458e-05,0.0,0.0,1.0,7.51044515159458e-05
20,Maryland,6016447,MD,6.0,5.0,1.0,9.972663267872218e-05,8.310552723226848e-05,1.66211054464537e-05,12.0,0.00019945326535744437
21,Massachusetts,6811779,MA,3.0,5.0,3.0,4.404135835880759e-05,7.340226393134599e-05,4.404135835880759e-05,11.0,0.00016148498064896117
22,Michigan,9928300,MI,16.0,9.0,7.0,0.00016115548482620388,9.064996021473968e-05,7.05055246114642e-05,32.0,0.00032231096965240776
23,Minnesota,5519952,MN,3.0,5.0,2.0,5.434829868085809e-05,9.058049780143015e-05,3.623219912057206e-05,10.0,0.0001811609956028603
24,Mississippi,2988726,MS,5.0,1.0,7.0,0.0001672953626394658,3.3459072527893155e-05,0.0002342135076952521,13.0,0.00043496794286261104
