Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id
0,0,171,532,0,0,0,Sun Feb 05 19:27:45 +0000 2017,,"New Brunswick, NJ",Christoph Mergerson,3146,black people are,black,cardigansink,Mon Sep 25 12:05:49 +0000 2017,"Gonna go on a limb and suggest that this guy cares that black people are black -- like, a lot. https://t.co/yZ0eTuftMh",828324249442058245
1,0,1120,770,0,5,0,Mon Oct 13 07:08:56 +0000 2008,7.83088714574463e+17,"Austin, TX",Nkosi Barrow,6686,black people are,black,nkosi,Mon Sep 25 12:03:23 +0000 2017,@RaceBannon16 @allisonallen919 @GabelJoshua @meghanlinsey @toddstarnes So black people are only good for entertainm… https://t.co/wW0g0VRh4G,16717801
2,0,452,288,0,1,0,Thu Sep 15 16:30:42 +0000 2011,25073877.0,West Philly,lorren,21227,black people are,black,loruscetta,Mon Sep 25 12:02:27 +0000 2017,@realDonaldTrump You fucking idiot the reason why kneeling started is because black people are being murdered by police,374049297
3,0,716,555,0,2,0,Fri Jul 16 07:33:00 +0000 2010,8.760173818685481e+17,Killeen/San Antonio,Nova Magister D.Lee,82559,black people are,black,DLeeXIII,Mon Sep 25 11:57:27 +0000 2017,@Chrissy55638682 @wiwwdal What proof and indication do you have that black people are completely free and unrestric… https://t.co/oiYuCBNhmC,167311489
4,1,60866,9656,0,0,0,Wed Nov 12 20:45:46 +0000 2008,,Washington D.C.,"Aaron L Myers, II",61105,black people are,black,aaronmyers,Mon Sep 25 11:54:31 +0000 2017,"No, kneeling is an act of protest, acknowledging black people are being killed.by police, and something needs to ch… https://t.co/oCiaEN2xHt",17348274
5,0,279,299,0,2,0,Mon Jun 25 17:56:36 +0000 2012,139668957.0,Earth ,T ------bray,6308,black people are,black,TomB454,Mon Sep 25 11:53:44 +0000 2017,@chardowdy @Erinwatt5 You're saying white people are never the victim of racism? Yes black people are the victims by a much higher amount,618301909
6,0,6,43,0,1,0,Mon Oct 10 17:06:24 +0000 2016,149188258.0,"Virginia, USA",robert h.fields 3,1063,black people are,black,roberthfields32,Mon Sep 25 11:52:40 +0000 2017,@jeffisrael25 White America won't even look at the true facts of injustice we as black people are fighting for the… https://t.co/3DclNESDH1,785526911581716480
7,0,273,230,0,0,0,Wed Feb 19 22:55:58 +0000 2014,2352355136.0,"Lafayette, LA",kate,11801,black people are,black,sadttyl,Mon Sep 25 11:50:03 +0000 2017,yall just give a fuck that black people are voicing their opinions on the injustices that they face daily,2352355136
8,0,2336,339,0,0,0,Wed Aug 12 00:26:07 +0000 2009,,Brooklyn,Princess Jordan,45361,black people are,black,TheJordanPinks,Mon Sep 25 11:47:09 +0000 2017,Bro black people are always hyping something up 😂 https://t.co/O5JfBCrsv6,64876631
9,0,1087,1019,0,1,0,Mon Jan 19 23:58:06 +0000 2009,25073877.0,"Denver, CO",Michael Ditto,82446,black people are,black,janus303,Mon Sep 25 11:43:45 +0000 2017,@realDonaldTrump Black man takes the knee because so many black people are being killed by cops. The people protest… https://t.co/V2Ew0Rbv19,19209714
10,0,314,439,0,1,0,Wed Jun 16 03:58:56 +0000 2010,25073877.0,"Chapel Hill, NC",Russ G Lewis,10299,black people are,black,russglewis,Mon Sep 25 11:41:47 +0000 2017,@realDonaldTrump black people are protesting their unequal treatment by police,156145177
11,0,622,1470,0,0,0,Mon Feb 01 19:55:58 +0000 2016,,United States,Mary,22573,black people are,black,MaryLoyer2,Mon Sep 25 11:39:53 +0000 2017,People who believe they are better than black people are brainless idiots.kkk are spineless morons they need fronta… https://t.co/haw9w4gMUa,4870355974
12,0,13265,906,0,1,0,Mon Apr 20 03:41:50 +0000 2015,7.380805733657027e+17,"Los Angeles, CA",Keen Report,3244,black people are,black,KeenReport,Mon Sep 25 11:39:31 +0000 2017,"@robreiner If you hadn't noticed Rob, black people are the ones making it all about race.  P.S. Asking citizens to… https://t.co/yOWOmqigpU",3164694138
13,105,175,4,0,2,14,Tue Aug 29 18:45:45 +0000 2017,597179392.0,Was,Donald J. Trump,149,black people are,black,realDonaIdTrimp,Mon Sep 25 11:34:19 +0000 2017,@braxtonryn @realDonaldTrump I'm just making things up because these black people are being very unfair to me. Sad!,902603191296155648
14,1,434,345,0,1,0,Fri May 06 02:32:27 +0000 2011,357950817.0,"Brooklyn, NY",Brett Roberts,15039,black people are,black,thedredpirate,Mon Sep 25 11:29:55 +0000 2017,@mattyresch The issue is black people are still treated unequal in this country. It starts a dialogue(like the one… https://t.co/bQIJn7R4Ys,293844745
15,1,641,3269,0,1,0,Wed Feb 11 03:48:57 +0000 2009,25073877.0,Rockaway Point NY,DM,25264,black people are,black,Milmore,Mon Sep 25 11:27:33 +0000 2017,@realDonaldTrump We get your message loud and clear...you think black people are inferior to white people.,20569419
16,0,2766,3578,0,1,0,Thu Oct 17 04:24:52 +0000 2013,308203388.0,Florida,Karey Jackson,64277,black people are,black,Karey1975,Mon Sep 25 11:23:22 +0000 2017,"@biggiehallsx Obviously, you believe black people are exempt from civil behavior in society, then. They're not exempt.",1966026648
17,0,105,338,0,1,0,Tue May 26 22:36:43 +0000 2009,1367531.0,United States,MiamiDolphinsFan,9646,black people are,black,BryanAnderson20,Mon Sep 25 11:21:57 +0000 2017,@FoxNews Republicans would lose their shit. They don't believe race is an issue. You guys are just pissed black people are not in chains.,42743079
18,0,279,299,0,2,0,Mon Jun 25 17:56:36 +0000 2012,139668957.0,Earth ,T ------bray,6308,black people are,black,TomB454,Mon Sep 25 11:16:35 +0000 2017,@chardowdy @Erinwatt5 If you could please find some evidence where black people are not let into university as much… https://t.co/Okgma9ZjIk,618301909
19,0,817,1226,0,0,0,Tue Dec 27 20:37:54 +0000 2011,,"Loveland, Colorado",Jeanette Ochs,3521,black people are,black,koibabywriter,Mon Sep 25 11:01:28 +0000 2017,"""What?! Hundreds of black people are being killed, unjustifiably, and they can't appreciate it? How disrespectful... https://t.co/td6DJ5g0NG",448279075
20,0,3,33,0,2,0,Sun Aug 13 21:54:51 +0000 2017,14982804.0,"Dallas, TX",Richard Boulivar,134,black people are,black,DickBoulivar,Mon Sep 25 10:56:57 +0000 2017,@ava @ShaunKing Oh shut the fuck up. He doesn't give a shit what black people are doing.,896852577178050560
21,0,1088,446,0,2,1,Mon Apr 22 09:43:54 +0000 2013,1371742513.0,Earth,Cycling W/ Attitude❄,63450,black people are,black,OCherokee,Mon Sep 25 10:55:13 +0000 2017,"@mcurtisnc3 @johnastoehr Why do you think black people are over policed on our roads?
Why do you think St.Louis PD… https://t.co/Y2ghGf0s8a",1371742513
22,0,1592,536,0,3,0,Tue Apr 03 17:17:48 +0000 2012,232122033.0,NC,J. Mo',7571,all black are,black,CH_illMo,Mon Sep 25 01:29:23 +0000 2017,@AieshaKills @BaconTribe @torrayyyyy_ Im from an all black area. I know lighters &amp; darker skins are punished equall… https://t.co/1Fzr7woFue,544441771
23,0,268,1152,0,5,0,Sat Apr 19 03:20:26 +0000 2014,723951510.0,"Pennsylvania, USA",Tyler,15147,i hate black,black,bigred20k,Mon Sep 25 04:14:13 +0000 2017,@_shelly55 @Dbo2353 @Goony_38 @Kaepernick7 @Tonios_Mom I have black friends? Why would i hate black people? Lmao,2493715667
24,0,372,581,0,0,0,Sat Sep 10 04:29:43 +0000 2011,,apex north carolina ,lucilleD,27934,i hate black,black,AsALLOutdoors,Mon Sep 25 00:41:04 +0000 2017,so its a problem that they stayed in the locker room? i hate black folk we cannever just ... GAH,371073753
25,0,2903,2076,0,0,0,Tue Oct 11 20:32:12 +0000 2011,,bahamas w ya mamas,ken.doll🤸🏾‍♂️,148795,i hate black,black,IIIXXVIII,Sun Sep 24 21:52:26 +0000 2017,“a trump sign doesn’t mean i hate black people” bitch. u support a man who is a white supremacist &amp; supports neo-nazis..who hate black ppl,389078442
26,0,135,369,0,1,0,Wed Jun 15 21:18:32 +0000 2011,51263592.0,"Austin, TX",Hunter Brown,1130,i hate black,black,ghunterbrown,Sun Sep 24 04:41:47 +0000 2017,@AdamSchefter So if one of your players said i hate black people would that be okay?? Or because they work for you they would be fired.,318033431
27,0,393,270,0,1,0,Tue Feb 11 02:01:30 +0000 2014,7.354693239056056e+17,"California, USA",aidan,17491,i hate all black,black,LangNasty,Fri Sep 22 02:15:44 +0000 2017,@Wraith_Guy Why dont you look at BLMs past just cause i hate a black organization doesnt mean i hate all black ppl,2337570613
28,0,99,165,0,0,0,Tue Jul 28 02:11:33 +0000 2015,,new york,olivia,16088,i hate all black,black,liviwoods17,Sun Sep 17 16:53:01 +0000 2017,i hate all black shoes,3391282029
29,5,3593,888,0,0,3,Wed Mar 30 06:04:35 +0000 2011,,"San Francisco, Ca",Bonta Hill,71040,down with the black,black,BontaHill,Thu Sep 21 20:12:32 +0000 2017,Agreed. I'm not down with the black FUBU jersey. https://t.co/m27tZWv6JA,274369740
30,0,957,2612,0,2,0,Sat Jun 27 03:57:02 +0000 2009,2490312821.0,"Los Angeles, CA",Ian K. Grant,4479,nigger are,black,PrinceIankyle,Mon Sep 25 00:04:49 +0000 2017,@_Jazzie_Kay_ @ldontgotanyhoes Nigga and nigger are the same difference. Wtf are you talking about? But keep lettin… https://t.co/N6LwyXmhRb,51338577
31,0,20,318,0,0,0,Fri Aug 04 21:14:33 +0000 2017,,"Hiawassee, Ga",lunalee17,1183,nigger are,black,AngieNi16523238,Sun Sep 24 04:15:20 +0000 2017,Niggers are just as good as a white nigger aren't they? And religion at this point... I'll just take my own life..,893580942585073664
32,0,2314,1423,0,1,0,Sun Aug 31 23:31:17 +0000 2008,16072488.0,"Atlanta, GA",Jean-Baptiste Zorg,178543,nigger are,black,theblackmurse,Fri Sep 22 17:39:16 +0000 2017,@BillWeiss These same people calling him a nigger are judges and cops and everything else. Does he avoid going outside as well? I mean...,16072488
33,7,1145006,7243,0,1,0,Wed Dec 31 17:47:21 +0000 2008,,Brooklyn ALL DAY,Talib Kweli Greene,245695,nigger are,black,TalibKweli,Fri Sep 22 15:59:46 +0000 2017,These mental gymnastics you are using to justify how badly you want to say nigger are unimpressive. @msmotaifurnasty https://t.co/kV99RAZZls,18511475
34,0,1068,451,0,0,0,Sat Dec 19 06:51:11 +0000 2009,,"ON, Canada ",RéSean,123266,nigger are,black,ReSeanRussell,Fri Sep 22 12:15:04 +0000 2017,Yes the fuck we do nigga and nigger are the same word it's just the accent we had and used that made it stick so mo… https://t.co/5c2x3g9xpr,97843021
35,1,121,188,0,1,1,Mon Aug 14 14:10:16 +0000 2017,3065640509.0,"North Carolina, USA",Grim Bane's Folly,447,nigger are,black,GrimFolly,Fri Sep 22 12:03:05 +0000 2017,@DrHarleyQ6 Absolutely..... the people offended by the word nigger are people that actually qualify to wear the wor… https://t.co/sWRfFsgHb1,897098044939939840
36,0,737,991,0,2,0,Tue Jun 03 03:01:55 +0000 2014,2577418302.0,"Boise, ID",Jake,4696,nigger are,black,Jake_Lothrop,Thu Sep 21 20:37:17 +0000 2017,@dejuan4u @thatsBlawesome No nigger has put people down not nigga get it right just like niger and nigger are 2 dif… https://t.co/moeONRL6xj,2542664299
