# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,Classification
1,488,825,0,0,0,Sun Aug 07 23:11:01 +0000 2016,,"Cincinnati, OH",CAMERON 😩🙌,836,jigaboo,black,Camaronii,Mon Sep 25 20:43:19 +0000 2017,This dude name is UgyGoddddd and he has the guts to call me trash at pubg kys fucking jigaboo,762425843356278784,Hate speech
0,406,1113,0,1,0,Tue Sep 14 14:31:38 +0000 2010,386507775.0,Orlando,lbj,1519,coon,black,QTLBJ,Tue Sep 26 16:49:31 +0000 2017,"@USPS this is the type of person you hire?? I’m a coon because I don’t support segregation. Make her an example, https://t.co/c5c2xJEBCN",190658684,Hate speech
0,1341,1365,0,1,0,Fri Mar 06 23:24:04 +0000 2009,,New York,BLU CHECK TRAITOR 💎,16821,coon,black,winslowlaroche,Tue Sep 26 16:45:59 +0000 2017,Ehh @hankwthomas is a tired art nigga coon w/ mad unchecked nonBlack proximity which helps suppress vocal Black cri… https://t.co/GzlnAkCTVo,23135268,Hate speech
6,6358,830,0,0,6,Mon Nov 29 00:18:26 +0000 2010,,Loui$iana,Treywop. 🕊,222738,coon,black,TRYVNS,Tue Sep 26 16:42:10 +0000 2017,you can marry outside your race &amp; not be a coon though. https://t.co/iZLXOg7yqY,220841072,Hate speech
0,248,1548,1,0,0,Wed Dec 01 07:39:34 +0000 2010,,Chicago,#TrumpTrain Forever,7942,coon,black,007mafiawars,Tue Sep 26 16:38:05 +0000 2017,#MAGA  World's fattest dune coon dies https://t.co/xaJQmtib0F,221660916,Hate speech
0,426,107,0,1,0,Sun Sep 30 18:37:52 +0000 2012,8.929302252515492e+17,"Allen, TX",preston,14776,coon,black,go_preston_go,Tue Sep 26 16:19:53 +0000 2017,@YungKaft I will you coon,855159912,Hate speech
0,118,74,0,0,0,Mon Apr 27 15:41:25 +0000 2009,,"brooklyn, nyc",indigo ✊🏿🇬🇩,31284,coon,black,badlucklucy,Tue Sep 26 16:19:49 +0000 2017,this dude came in my face trying to talk to me with he breath smelling as if he just drink coon coon water. wtffff,35772938,Hate speech
1,214,0,0,0,0,Tue Apr 24 19:16:33 +0000 2012,,Maine,Uncle Henry's Pets,57988,coon,black,uh_pets,Tue Sep 26 16:18:40 +0000 2017,"One left! Female Maine coon, double pawed, born 7/20/17. Ready to go now, first shots, vet chec... https://t.co/WRfOQNKCvg",562352310,Hate speech
1,561,721,0,1,0,Mon Mar 09 22:58:16 +0000 2009,1639016310.0,toronto,Ali Chappell,10752,coon,black,thealichappell,Tue Sep 26 16:14:04 +0000 2017,@ZachWWMovies I wasn't a fan of The Sacrament sadly. But Black Death...ohhh I haven't seen that film in a coon's ag… https://t.co/QFgOqE9wtc,23519145,Hate speech
2,258,267,0,0,0,Tue Mar 25 20:20:03 +0000 2014,,"Los Angeles, CA",ALL HAIL chief,16531,coon,black,badthoughtsnow,Tue Sep 26 15:55:41 +0000 2017,I truly believe in the coon gene. It's very similar to the hater gene. Some niggaz are just naturally born haters.,2411491802,Hate speech
2,1014,186,0,3,0,Tue Jan 20 00:54:14 +0000 2009,126180618.0,"Pennsylvania, USA",DoReMiFatBeat,47621,coon,black,thefatdrake,Tue Sep 26 15:55:17 +0000 2017,@Hoggrim @Wowchub1 @DukeTubbikens so theres one half of the coon ;3,19211879,Hate speech
0,379,234,0,0,0,Sun Sep 02 20:03:56 +0000 2012,,Venus,Tracy w/o an E,20519,coon,black,Tracy_Keonne,Tue Sep 26 15:49:29 +0000 2017,Sir Charles is a fucking coon,798955915,Hate speech
0,0,10,0,0,0,Tue Sep 12 16:31:39 +0000 2017,,"Arizona, USA",Hank Moody,11,coon,black,HankMoodySr,Tue Sep 26 15:47:57 +0000 2017,NBA Coach: ‘White People Especially’ Need To Be Made ‘Uncomfortable’ says brainwashed coon lover Gregg Popovich,907642876875517952,Hate speech
1,1822,99,0,4,0,Fri Jan 13 05:52:24 +0000 2017,1214598134.0,"Seattle, WA",Blue Dream 🔹,3622,coon,black,ayeyocheryl,Tue Sep 26 15:47:26 +0000 2017,@averythecoolcat @Mabasei4 @Bjtreasure_ @Cynthia_G1984 Sir you're a delusional coon who has nothing to do with THIS… https://t.co/lLjRDupsGv,819784139813466112,Hate speech
0,737,586,0,1,0,Sat Aug 12 16:13:35 +0000 2017,,"Brooklyn, NY",Your Father,1262,coon,black,Pee_paw_,Tue Sep 26 15:47:02 +0000 2017,But I'm not surprised @CutonDime25 the same coon who didn't say a mumbling word when Riley cooper was running around saying nigger in fact-,896404303224721408,Hate speech
0,1813,940,0,0,0,Sat Sep 07 00:10:56 +0000 2013,,"Connecticut, USA",Big Miss Steak,479252,coon,black,FerragamoDurag,Tue Sep 26 15:38:10 +0000 2017,I'm black you fucking coon first of all second of all that doesn't mean shit Klay whoops anybody https://t.co/cYdkCtnBvc,1738644181,Hate speech
1,1122,330,0,1,0,Sun Mar 29 04:05:29 +0000 2009,,"Toronto, Ontario",Mouse Sucks,857,coon,black,MouseSucks,Tue Sep 26 15:36:08 +0000 2017,Dude @twitter I got kicked off here for calling Chris Brown a coon (which he is) but Trump can tweet all he wants?,27376882,Hate speech
0,84,1313,0,2,0,Wed Feb 22 01:10:13 +0000 2017,15545077.0,"Minneapolis, MN",Rhonda,199,coon,black,rhondavon60,Tue Sep 26 15:27:14 +0000 2017,@Sony12Play @WhoopiGoldberg She acting like a coon now,834208638944309252,Hate speech
0,838,331,0,0,0,Tue Apr 15 04:39:59 +0000 2014,,LA,ً,47518,coon,black,warxsoul,Tue Sep 26 15:27:00 +0000 2017,Just came across a coon ass black cop nigga a bitch doing all that faking shit,2444900060,Hate speech
0,84,1313,0,1,0,Wed Feb 22 01:10:13 +0000 2017,284602545.0,"Minneapolis, MN",Rhonda,199,coon,black,rhondavon60,Tue Sep 26 15:26:04 +0000 2017,@WhoopiGoldberg Dont take back your opinions about trump you make your self look like a coon,834208638944309252,Hate speech
2,411,355,0,0,0,Sun Aug 31 08:39:31 +0000 2008,,"new york, new york",Nicole Capatasto,3849,coon,black,nicolecapatasto,Tue Sep 26 15:22:50 +0000 2017,we need to talk about carrie coon.,16064766,Hate speech
0,851,2157,0,5,0,Wed May 20 01:57:44 +0000 2009,37798250.0, The Planet of Brooklyn,MAC611,12771,coon,black,mac611,Tue Sep 26 15:18:18 +0000 2017,@Holipsism @dosastro @SheriffClarke @AmericaFirstPAC @Kaepernick7 If this clown coon did research he would know tha… https://t.co/db60lHQGDL,41269691,Hate speech
0,299,439,0,2,0,Mon Mar 02 06:31:56 +0000 2009,116489572.0,Earth,Thorax The Impailer,20618,coon,black,JustinBougere,Tue Sep 26 15:13:23 +0000 2017,@_KingAtBirth88_ @tariqnasheed Yea brother..lol. That's what I was alluding to. Look at whose site you posted. Dude is a known coon.,22459688,Hate speech
1,1578,455,0,0,0,Wed Oct 30 22:46:13 +0000 2013,,United States,Nas,17252,coon,black,1Nastradomas,Tue Sep 26 14:50:12 +0000 2017,Ur comments make u a coon. Ur not up to anything lmao https://t.co/se0jM0RtwC,2165596231,Hate speech
0,2,8,0,2,0,Sun Nov 27 23:03:51 +0000 2016,451793963.0,"Richmond, CA",FeletheRealist,44,coon,black,Feletherealist,Tue Sep 26 14:40:16 +0000 2017,@Trov89 @loverichpablo The injustices outweigh the good by far don't be a coon. be realistic.,803011482120114176,Hate speech
0,384,1105,0,1,0,Sat Dec 14 22:59:42 +0000 2013,40056590.0,,Mister Loudermilk,4584,coon,black,MistrLoudermilk,Tue Sep 26 14:40:13 +0000 2017,"@thecoreyholcomb This Shattered glass house having ass coon still wants 2 throw rocks?

Annoyed that this coons opi… https://t.co/IMw7XabYAE",2246264102,Hate speech
1,103,269,1,0,0,Thu Jun 06 19:12:40 +0000 2013,,"Illinois, USA",ImSoRandom,7410,coon,black,Kwenten75,Tue Sep 26 14:32:27 +0000 2017,Has Ray Lewis addresses the sentiment that he is a grandstanding shuck n jiving coon yet? #NFL,1488500780,Hate speech
0,234,608,0,1,0,Wed Jan 22 04:26:24 +0000 2014,583456963.0,"Massachusetts, USA",Debra Fletcher,7351,coon,black,DebraFletcher17,Tue Sep 26 14:31:51 +0000 2017,@LATiffani1 LeBron James is what they call a coon,2296729557,Hate speech
0,851,2157,0,2,0,Wed May 20 01:57:44 +0000 2009,118845216.0, The Planet of Brooklyn,MAC611,12771,coon,black,mac611,Tue Sep 26 14:18:23 +0000 2017,@SheriffClarke @AmericaFirstPAC Google is your friend you murderous coon! How many black men have died under your w… https://t.co/tgqJyC4FAm,41269691,Hate speech
7,992,1463,0,2,2,Sun Mar 23 13:25:51 +0000 2014,16834167.0,"New Jersey, USA",Lynsey,13182,coon,black,lynseyross999,Tue Sep 26 14:16:05 +0000 2017,@ActualFlatticus @allenerobs Ben Dixon is the absolute worst.  Called Tim Black a coon.,2431039942,Hate speech
0,35,349,0,1,0,Fri Mar 25 01:54:50 +0000 2011,63291287.0,"Austin, Texas",Monica Mackey,93,coon,black,monicalynette11,Tue Sep 26 14:06:13 +0000 2017,@REALStaceyDash I think she really meant to call you a coon.,271717515,Hate speech
0,1161,808,0,0,0,Thu Mar 12 01:43:07 +0000 2009,,Benton Harbor MI,Hollo_Gramz,31908,coon,black,Hollo_Gramz,Tue Sep 26 14:06:00 +0000 2017,Nobody gone talk about how Charles Barkley a coon and saying visiting the white house is special even if Trump in there...or he not relevant,23871817,Hate speech
0,81,129,0,0,0,Sun Jun 19 14:02:53 +0000 2016,,"Queens, NY",Israelite Royalty,892,coon,black,israeliteroyals,Tue Sep 26 14:01:54 +0000 2017,The coon boon is on the rise. https://t.co/VY1EwyDZSi,744530895940517888,Hate speech
