,Blacks,"Arabic term that means Black, many Middle Eastern immigrants to the United States use this"
African't,Blacks,Unemployed/lazy Blacks
Americoon,Blacks,Combination of American and Coon.
,Blacks,Self Explanatory.
Aunt Jemima,Blacks,"After the stereotypically Black trademark picture on ""Aunt Jemima"" brand breakfast foods."
,Blacks,"From the ""booming"" of their car stereos."
,Blacks,Another simian reference
Banjo Lips,Blacks,Big lips
,Blacks,"Means ""Black American Princess"". Arrogant female blacks who flaunt their money around and demand the finest things in life."
,Blacks,"""Big Dummy Nigger"" Comes from the movie ""The Green Mile"". A white prisoner calls a black prisoner a Big Dummy Nigger."
Biscuit Lip,Blacks,Reference to large lips.
,Blacks,"From a racist cartoon spread on the internet where a black man is breaking into a house saying ""mup da doo ditta po mo BIX NOOD"""
,Blacks,Refers to a black woman when she wears her hair and makeup to try and look like a white woman.
,Blacks,"""It has always fascinated researchers how the black folk manage to get there hands on grog money daily."" Specific words of the original submitter, of which I am fascinated by."
,Blacks,Perceived tendency for Blacks to be late
Blackie,Blacks,Self-explanatory.
,Blacks,Blacks who practice martial arts
,Blacks,"Sounds like the word ""black"" said with a South African accent. "
,,http://imdb.com/title/tt0097733/
,Blacks,"A real estate agent who sells a home in an upper-class white neighborhood to a black family, thus lowering the values of other homes in the neighborhood. (This can be stretched to include inviting a black or minority friend over for dinner.)"
,Blacks,LA-based gang. Can be used offensively towards non-gang members.
,Blacks,Originated from blacks originally living in Africa and using blow guns.
,Blacks,"""Big-Lipped Tyrone,"" or for female version ""Big-Lipped Tyreesha."" Inspired from the 80's version of Degrassi Jr. High where the black guy wore a shirt with the phrase ""BLT,"" his initials."
,Blacks,"Old myth that if one were bitten by a nigger with blue gums, they would die."
,Blacks,"""Black Mans Wish,"" referring to BMW automobiles. "
Bo-Bo,Blacks,Sounds like a monkeys name or implies stupidty.
,Blacks,Black women have a tendency to violently shake their heads in heated conversations.
,Blacks,The Hawaiians or Polynesians call Blacks this name. Same as nigger in the United States.
,Blacks,Bombs in cartoons are typically black
Bonky,Blacks,Name for blacks who act or talk white
Boogat,Blacks,"Comes from the similar idea of calling a black person a ""Spook."" C. 1940s"
Boogie,Blacks,"Referring to ""Boogie Woogie"" form of jazz? Could come from W. African ""Buuker"" or ""Buckra"", meaning ""Devil"", ""Boogie man"" or ""White Man"". Turned around and used against Blacks by Whites."
Boon,Blacks,"Probably a derivation of ""Baboon"" or the black ""Boon Bug"" beetle."
,Blacks,"During the Industrial boom of the auto industry and OSHA'a requirement of safety precautions, workers were required to wear steel-toed boots. Common steel-toed boots are black in color and have large, bulky toes - referencing the size of black's lips."
,Blacks,"The Bounty Bar is a coconut filled chocolate bar, so it's brown on the outside but white on the inside. An insult to (for example) black police officers in England."
,Blacks,Bourbon are brown coloured brown cream filled biscuits. Possibly a variant of eggplant. Bourbon is also a dark alchoholic drink
,Blacks,Originated during slavery. Used to belittle blacks.
,Blacks,"Pronounced (bow-zack) southern term for a big black man. ""thats one black bozak"""
,Blacks,Monkeys climb trees.
,Blacks,Hair reminiscent of a Brillo Pad.
,Blacks,"Contraction of brother, see: Brother."
,Blacks,Used by blacks in an effort to help unify their race. Also used by non-black races to poke fun at or try to identify with the black race.
,Blacks,Represents Black American jazz musicians.
,Blacks,"Skin color, like the favorite treat."
,Blacks,Wooooo Wooooo.
,Blacks,"When referring to prison, the big guy who takes advantage of all the new prisoners is derogatorily called Bubba."
,Blacks,Big Black man from the film Lilo and Stitch
,Blacks,This word has been used since the 17th century to refer to a male Negro - no matter whether slave or not.
,Blacks,"Refers to Buckwheat, a Black character on ""The Little Rascals."""
,Blacks,"When the U.S. government was clearing the West of Native Americans, they sent many black units to hunt them down. The Indians thought they looked like buffalo."
Bumper Lips,Blacks,Self-explanatory.
,Blacks,Big Ugly Nigger.
Buppie,Blacks,"A (young) black upwardly professional person. Like yuppie, but refers to blacks."
,Blacks,Used as a response to Blacks who call Whites crackers.
,Blacks,Self-explanatory.
,Blacks,Skin color can resemble that of a burnt piece of bread.
,Blacks,Hair Texture.
,Blacks,Derived from their jungle origins.
,Blacks,Alternative to Nigger.
,Blacks,"From some mythical form where the circle you filled out for ""race = black"" was column c, number 15."
,Blacks,"Derogatory term used by South African whites during the apartheid era, now considered an offense and beeped out from the media (like an ordinary curse in USA)"
,Blacks,"Black women that are nannies. Comes from the character Calpurnia in the book ""To Kill a Mocking Bird."""
Camel Lips,Blacks,Self Explanatory
,Blacks,Used as a masked replacement for 'Nigger.'
,Blacks,"Named after Sammy Davis Jr.'s famous song, the ""Candy Man."""
,Blacks,Combination of Canadian and Nigger for black Canadians.
,Blacks,Slave ship reference.
,Blacks,"Obese black males. Reference to character from ""Family Matters"" TV show."
,Blacks,"Black males who behave like whites or talk very proper. ""Fresh Prince of Bel-Air"" reference."
,Blacks,From 1960s African leader Casavubu.
