,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id
0,0,1035,695,0,0,1,Mon May 10 20:46:10 +0000 2010,,"Los Angeles, CA",Daunté L. Guapo,46837,black people are,black,TheAntiThirst,Sun Sep 24 23:43:48 +0000 2017,"""Black Men are the White People of Black People"" https://t.co/aKPGfzpjfu",142414785
1,0,3418,848,0,0,0,Fri Apr 18 00:04:37 +0000 2014,,"Brooklyn, NY",⬛️Laid Protester⬛️,17894,black people are,black,elsajustelsa,Sun Sep 24 23:41:47 +0000 2017,"If you are still whining about that ""Straight Black Men = White People""....

Hit dogs holler.",2490904690
2,0,2700,933,0,2,0,Mon Oct 24 06:42:43 +0000 2011,2930299244.0,"Boston, MA",Jared Valdez,3159,black people are,black,jaredvaldez4,Sun Sep 24 23:41:42 +0000 2017,@CrosswaIk @pewdiepie The fact that you said black people are racist is the stylist thing I’ve ever read on here. M… https://t.co/FWujAvp2cD,397083809
3,0,458,857,0,4,0,Fri Mar 04 18:31:03 +0000 2011,529801368.0,Iowa,TheDarkMosesReturns,19553,black people are,black,TweeterMoses,Sun Sep 24 23:41:26 +0000 2017,"@MotherenSandra @FoxNews @POTUS @NFL Never heard a black person say that. Some are, I've heard that. More than you… https://t.co/tNwYdihp3V",260841963
4,0,34,80,0,2,0,Mon Jun 06 20:29:37 +0000 2016,7.99287737388073e+17,"Tennessee, USA",Donald J Trump,109,black people are,black,potus45ofUSA,Sun Sep 24 23:41:03 +0000 2017,"@KathySc65174870 @teacherfortrump Kathy, it was a black man who killed those people. Those are black men disrespecting our country.",739917178242138116
5,0,317,913,0,2,0,Tue Feb 26 21:46:33 +0000 2013,1525973918.0,Texas via Alabama via Georgia,#DC4L,6825,black people are,black,ChopChop313,Sun Sep 24 23:40:08 +0000 2017,@Rooster0620 @TCUWhiteTrash How many black people are in the bar???,1223035879
6,1,3007,5000,0,3,0,Sun May 21 01:57:26 +0000 2017,7.812909957321892e+17,"Dallas, TX",Kristin Fennymore,5069,black people are,black,KFennymore,Sun Sep 24 23:40:02 +0000 2017,@erick_c_h01 @VeronicaA5567 @Trumpfan1995 I'm really beginning to think it's the black people that are the racist b… https://t.co/zoA0bf1Cf7,866110653941108736
7,0,279,568,0,2,0,Sat Jul 18 03:50:22 +0000 2009,1243017240.0,Mobile,Ryan Roach,3247,black people are,black,RoachBDB,Sun Sep 24 23:38:23 +0000 2017,"@SirXakariah @OwenBenjamin If you are saying black people are not oppressed, then you are doing exactly that",57846379
8,0,0,38,0,1,0,Wed Sep 06 20:24:29 +0000 2017,66923871.0,"Florida, USA",G Graham,47,black people are,black,GGraham1023,Sun Sep 24 23:38:11 +0000 2017,@PARISDENNARD Uncle Tom! YOU are a disgrace to all black people. Stop selling out. Truly an embarrassment.,905527143714742281
9,0,2090,669,0,0,0,Thu Jun 30 16:13:10 +0000 2011,,7okyo ,JACQひES Music,23871,black people are,black,kidjacq,Sun Sep 24 23:38:05 +0000 2017,I swear black people are the best ✊🏿😂 https://t.co/sDoJqBcm9f,326858331
