City Name,County,Latitude,Longitude,State,State Abbreviation,Zip Code
Mellen,Ashland,46.3007,-90.6552,Wisconsin,WI,54546
Sulphur,Calcasieu,30.219,-93.3639,Louisiana,LA,70663
Washington,District of Columbia,38.8933,-77.0146,District of Columbia,DC,20069
Norman,Montgomery,34.4596,-93.6743,Arkansas,AR,71960
Walters,Cotton,34.3605,-98.314,Oklahoma,OK,73572
Winona,Montgomery,33.4858,-89.7277,Mississippi,MS,38967
Niagara Falls,Niagara,43.0945,-79.0567,New York,NY,14302
Midland,Midland,43.6473,-84.3873,Michigan,MI,48686
Julian,Centre,40.8917,-77.9332,Pennsylvania,PA,16844
Grouse Creek,Box Elder,41.7094,-113.8833,Utah,UT,84313
Geneva,Fillmore,40.5277,-97.6096,Nebraska,NE,68361
Lynden,Whatcom,48.9372,-122.4592,Washington,WA,98264
Raysal,McDowell,37.3244,-81.7614,West Virginia,WV,24879
Welcome,Martin,43.6705,-94.5886,Minnesota,MN,56181
Hume,Bates,38.09,-94.5838,Missouri,MO,64752
Chino,San Bernardino,33.954,-117.6404,California,CA,91708
Jackson,Hinds,32.37,-90.1738,Mississippi,MS,39206
Nantucket,Nantucket,41.2725,-70.0932,Massachusetts,MA,02554
Lebanon,Hunterdon,40.6466,-74.829,New Jersey,NJ,08833
Bonesteel,Gregory,43.0695,-98.988,South Dakota,SD,57317
Cardington,Morrow,40.5066,-82.9337,Ohio,OH,43315
Rosebud,Gasconade,38.3853,-91.3974,Missouri,MO,63091
Mc Sherrystown,Adams,39.801,-77.0229,Pennsylvania,PA,17344
Lucan,Redwood,44.4132,-95.4119,Minnesota,MN,56255
Spearman,Hansford,36.1927,-101.1952,Texas,TX,79081
Rippey,Greene,41.9257,-94.2132,Iowa,IA,50235
Saint Libory,Howard,41.0867,-98.3589,Nebraska,NE,68872
Clinton,Big Stone,45.4577,-96.4182,Minnesota,MN,56225
Jacksonville,Duval,30.2908,-81.6321,Florida,FL,32207
New Hartford,Butler,42.5831,-92.6164,Iowa,IA,50660
Fanshawe,Le Flore,34.9537,-94.8998,Oklahoma,OK,74935
Coushatta,Red River,32.0231,-93.2648,Louisiana,LA,71019
Smiths Grove,Warren,37.0581,-86.1938,Kentucky,KY,42171
Lexington,Middlesex,42.4563,-71.2167,Massachusetts,MA,02420
Natchitoches,Natchitoches,31.7476,-93.0791,Louisiana,LA,71458
Highland,Iowa,43.0524,-90.365,Wisconsin,WI,53543
North Washington,Butler,41.0472,-79.8089,Pennsylvania,PA,16048
Omaha,Douglas,41.2642,-96.1206,Nebraska,NE,68154
Cedartown,Polk,34.0112,-85.2459,Georgia,GA,30125
Tampa,Hillsborough,27.8742,-82.5203,Florida,FL,33616
Fordoche,Pointe Coupee,30.596,-91.6165,Louisiana,LA,70732
Jane Lew,Lewis,39.11,-80.4311,West Virginia,WV,26378
Henderson,Chester,35.4269,-88.6398,Tennessee,TN,38340
San Marcos,San Diego,33.1434,-117.1661,California,CA,92079
Cross City,Dixie,29.6372,-83.2032,Florida,FL,32628
Longboat Key,Manatee,27.4125,-82.65899999999999,Florida,FL,34228
Plano,Collin,33.0784,-96.7291,Texas,TX,75025
Vineburg,Sonoma,38.2725,-122.4375,California,CA,95487
Elbridge,Onondaga,43.0252,-76.4352,New York,NY,13060
Saint Louis,St. Louis (city),38.6531,-90.2435,Missouri,MO,63199
Corinth,Penobscot,44.9805,-69.0109,Maine,ME,04427
Sharon,Woodward,36.2699,-99.3587,Oklahoma,OK,73857
Kansas City,Platte,39.2127,-94.6383,Missouri,MO,64151
Cocolamus,Juniata,40.6479,-77.2125,Pennsylvania,PA,17014
Hampton,Rock Island,41.5559,-90.4093,Illinois,IL,61256
Scooba,Kemper,32.8402,-88.4883,Mississippi,MS,39358
Scipio,Jennings,39.0665,-85.7129,Indiana,IN,47273
Young America,Cass,40.5686,-86.3467,Indiana,IN,46998
Tussy,Carter,34.4852,-97.5423,Oklahoma,OK,73488
Bozrah,New London,41.5465,-72.1711,Connecticut,CT,06334
