Unnamed: 0,# favorite of tweet,# followers,# following,# of hastags,# of mentions,# retweets of tweet,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
0,0.0,1035.0,695.0,0.0,0.0,1.0,Mon May 10 20:46:10 +0000 2010,,"Los Angeles, CA",Daunté L. Guapo,46837.0,black people are,black,TheAntiThirst,Sun Sep 24 23:43:48 +0000 2017,"""Black Men are the White People of Black People"" https://t.co/aKPGfzpjfu",142414785.0,Hate speech,0.0,,,
2,0.0,2700.0,933.0,0.0,2.0,0.0,Mon Oct 24 06:42:43 +0000 2011,2930299244.0,"Boston, MA",Jared Valdez,3159.0,black people are,black,jaredvaldez4,Sun Sep 24 23:41:42 +0000 2017,@CrosswaIk @pewdiepie The fact that you said black people are racist is the stylist thing I’ve ever read on here. M… https://t.co/FWujAvp2cD,397083809.0,Hate speech,0.0,,,
4,0.0,34.0,80.0,0.0,2.0,0.0,Mon Jun 06 20:29:37 +0000 2016,7.99287737388073e+17,"Tennessee, USA",Donald J Trump,109.0,black people are,black,potus45ofUSA,Sun Sep 24 23:41:03 +0000 2017,"@KathySc65174870 @teacherfortrump Kathy, it was a black man who killed those people. Those are black men disrespecting our country.",7.399171782421381e+17,Hate speech,-0.3818,,,
6,1.0,3007.0,5000.0,0.0,3.0,0.0,Sun May 21 01:57:26 +0000 2017,7.812909957321892e+17,"Dallas, TX",Kristin Fennymore,5069.0,black people are,black,KFennymore,Sun Sep 24 23:40:02 +0000 2017,@erick_c_h01 @VeronicaA5567 @Trumpfan1995 I'm really beginning to think it's the black people that are the racist b… https://t.co/zoA0bf1Cf7,8.661106539411087e+17,Hate speech,-0.6808,,,
11,0.0,32.0,19.0,0.0,0.0,0.0,Wed Apr 16 18:29:54 +0000 2014,,"Clermont, FL",Neville Ibrahim,19.0,black people are,black,NevilleReal,Sun Sep 24 23:37:40 +0000 2017,"NASCAR owners are mainly composed of racist whites that haven't experienced oppression, pain, and disenfranchisement like black people have.",2447756448.0,Hate speech,-0.4404,,,
13,0.0,3362.0,1975.0,0.0,0.0,0.0,Thu Mar 31 14:47:18 +0000 2011,,"Charlotte, NC",Psilocybin ?,202216.0,black people are,black,LordOfDaWingz,Sun Sep 24 23:36:32 +0000 2017,“Straight black men are the white people of the black community” https://t.co/jGpczxORCd,275049451.0,Hate speech,0.0,,,
17,0.0,50.0,148.0,0.0,2.0,0.0,Sun Dec 14 23:38:21 +0000 2014,397083809.0,Canada,Owner,1652.0,black people are,black,CrosswaIk,Sun Sep 24 23:34:37 +0000 2017,"@jaredvaldez4 @pewdiepie You are so fucking stupid. ????
Black people havent always been fucking called names
Us wh… https://t.co/EUBOvi8i5h",2930299244.0,Hate speech,0.0,,,
29,0.0,23.0,23.0,0.0,1.0,0.0,Sat Jan 24 06:59:06 +0000 2015,,"Memphis, TN",Tahj Walsh,2494.0,black people are,black,TahjWalsh,Sun Sep 24 23:29:57 +0000 2017,"I liked a @YouTube video https://t.co/dd92Y5Q1p9 The Root Says ""Straight Black Men"" Are Racists White People?",2995362369.0,Hate speech,0.0,,,
31,0.0,138.0,134.0,0.0,1.0,0.0,Wed Aug 07 04:15:04 +0000 2013,2187614563.0,"San Antonio, TX",Naysia baby,2424.0,black people are,black,Tenten_Shijo,Sun Sep 24 23:29:36 +0000 2017,@JalynnNicoleee Are they not white? If I'm black then people will call me black. Thats not racist. Plus its not lik… https://t.co/8PDcicPxpZ,1651967022.0,Hate speech,0.0,,,
32,1.0,111.0,285.0,0.0,3.0,0.0,Sat Feb 01 07:54:18 +0000 2014,8.089248547077161e+17,TX,Kin g,1882.0,black people are,black,boolin_bamking,Sun Sep 24 23:29:18 +0000 2017,@Freakklomein @UncleAndy45014 @Slate Are you aware that more unarmed white people are shot by cops than unarmed black people?,2321964294.0,Hate speech,-0.7184,,,
36,0.0,3731.0,3436.0,3.0,0.0,0.0,Sat May 23 00:29:48 +0000 2009,,"Donora,PA",ShafiqSamad,15674.0,black people are,black,RamonForman,Sun Sep 24 23:27:30 +0000 2017,Straight Black Men Are The White People Of Black People #MRSUPERBOY223 #WTF #Really https://t.co/zJbzjJMHcB,41936480.0,Hate speech,-0.5423,,,
37,0.0,3007.0,5000.0,0.0,2.0,0.0,Sun May 21 01:57:26 +0000 2017,4791527244.0,"Dallas, TX",Kristin Fennymore,5069.0,black people are,black,KFennymore,Sun Sep 24 23:26:51 +0000 2017,@karicha76 @Trumpfan1995 I'm starting to feel like it's the black people that are the racists....,8.661106539411087e+17,Hate speech,0.0,,,
39,0.0,6.0,57.0,0.0,0.0,0.0,Tue Sep 27 18:49:57 +0000 2016,,"Chicago, IL",god jahi tau,125.0,black people are,black,GodJahi,Sun Sep 24 23:26:26 +0000 2017,"And this is why they are trying to confuse black people with responding to killing black folks with
Lgbtq issues.
O… https://t.co/FraeBjke2y",7.808419257712722e+17,Hate speech,0.0,,,
45,0.0,1028.0,2191.0,0.0,1.0,0.0,Sun Sep 04 03:31:13 +0000 2011,931286316.0,"Hattiesburg, MS",illmaculate,966.0,black people are,black,cmacswavagang,Sun Sep 24 23:24:01 +0000 2017,@ScottPresler There are no black people either so why would they give a fuck they probably hate people of color just like you,367526678.0,Hate speech,-0.4767,,,
47,1.0,620.0,282.0,0.0,0.0,1.0,Thu Jun 13 20:39:10 +0000 2013,,"Hamilton, Ontario",Carolly Kasenumi,34593.0,black people are,black,doncwrites,Sun Sep 24 23:23:12 +0000 2017,"America is the country of ""Everything is ok except when black people do it"" and people still say, ""Why are you so angry? Try being polite.""",1514385426.0,Hate speech,0.0,,,
49,0.0,70.0,314.0,0.0,0.0,0.0,Thu Apr 13 14:14:59 +0000 2017,,Freetown USA,Name Cannot Be Blank,4814.0,black people are,black,JohanDoah,Sun Sep 24 23:22:34 +0000 2017,"If you are black and conservative, Leftists hate you more than they hate white people, but I don't have to tell you that. You know already.",8.525255275375657e+17,Hate speech,0.0,,,
52,0.0,15470.0,957.0,0.0,4.0,0.0,Thu Apr 23 07:48:38 +0000 2009,3171521318.0,"Triple D, TX",ericd,23674.0,black people are,black,ericdtx,Sun Sep 24 23:22:13 +0000 2017,@xBriceMc @dan_gitin122 @PureMichiganna @WORLDSTAR You’ve blamed black people for being disproportionately killed a… https://t.co/cze9TyNZP7,34563205.0,Hate speech,0.0,,,
