# favorite of tweet,# followers,# following,# of hastags,# of mentions,account creation date,in reply to,location,name,number of account tweets,phrase,race,screen name,time,tweet,user id,classification,compound score,Racist (Y/N),State Abbreviation,Valid City Data (Y/N)
0,1035,695,0,0,Mon May 10 20:46:10 +0000 2010,,"Los Angeles, CA",Daunt L. Guapo,46837,black people are,black,TheAntiThirst,Sun Sep 24 23:43:48 +0000 2017,"""Black Men are the White People of Black People"" https://t.co/aKPGfzpjfu",142414785.0,Hate speech,0.0,y,CA,y
0,34,80,0,2,Mon Jun 06 20:29:37 +0000 2016,7.99e+17,"Tennessee, USA",Donald J Trump,109,black people are,black,potus45ofUSA,Sun Sep 24 23:41:03 +0000 2017,"@KathySc65174870 @teacherfortrump Kathy, it was a black man who killed those people. Those are black men disrespecting our country.",7.4e+17,Hate speech,-0.3818,y,TN,y
1,3007,5000,0,3,Sun May 21 01:57:26 +0000 2017,7.81e+17,"Dallas, TX",Kristin Fennymore,5069,black people are,black,KFennymore,Sun Sep 24 23:40:02 +0000 2017,@erick_c_h01 @VeronicaA5567 @Trumpfan1995 I'm really beginning to think it's the black people that are the racist b https://t.co/zoA0bf1Cf7,8.66e+17,Hate speech,-0.6808,y,TX,y
1,3,0,1,0,Mon Aug 07 00:08:24 +0000 2017,,"Simi Valley, CA",Merica1958,456,black people are,black,Merica1861,Sun Sep 24 23:18:48 +0000 2017,#TakeTheKnee Black guy shoots up a church of white people.  Where is the outcry. Where are the riots? Who can we protest. Double Standard.,8.94e+17,Hate speech,-0.7579,y,CA,y
0,2321,1198,0,0,Thu Aug 12 03:04:35 +0000 2010,,"East Flatbush, Brooklyn",Nola Darling????,257313,black people are,black,WESTCOASTSUMA,Sun Sep 24 23:15:47 +0000 2017,This is why people say black men are the white people of black people. Shit like this https://t.co/iMvokl4FDm,177427473.0,Hate speech,0.0,y,NY,y
1,2308,2370,0,0,Thu Sep 17 15:45:37 +0000 2009,,Texas,D Doverspike,11825,black people are,black,dcatspiked,Sun Sep 24 22:50:33 +0000 2017,Hate to generalize and I have some wonderful black family and friends but black people are not oppressed in America https://t.co/Zmio8j0pMw,75041951.0,Hate speech,0.0,y,TX,y
0,860,1064,0,0,Sat Jul 29 17:29:27 +0000 2017,,"Cartwright, OK",Roxanne Riggs,11731,black are,black,RoxanneRiggs11,Sun Sep 24 23:26:44 +0000 2017,Statistics don't even support argument that blacks are killed at any higher rates by police than whites but black o https://t.co/Q1qrljZSVl,8.91e+17,Hate speech,0.0,y,OK,y
0,58,57,0,2,Tue Feb 07 22:27:07 +0000 2012,82811225.0,"Dundee,FL.",Lenny Marks,1848,all black are,black,LennyMarks1,Sun Sep 24 21:45:42 +0000 2017,@Notchypoo @CourtneeHendrix Racist you black braids are all alike. You asshole. How many baby daddies do you have.,486088713.0,Hate speech,-0.1531,y,FL,y
0,2663,5004,0,1,Sat Sep 03 19:18:31 +0000 2016,7.72e+17,maryland ,toddy.,1025,all black are,black,thelegitTJ,Sun Sep 24 20:48:08 +0000 2017,@LilPhatty_ If someone truly feels all black men are sexist or all black women are ghetto then you're a coon in my eyes..,7.72e+17,Hate speech,-0.5267,y,MD,y
0,2,4,0,1,Fri Sep 22 06:09:19 +0000 2017,1367531.0,"California, USA",J Scott,61,all black are,black,twitprisoner,Sun Sep 24 20:30:40 +0000 2017,@FoxNews Fuck them ALL. Everything You are protesting is based on a 100% LIE from black lives matter! And all you w https://t.co/9KcBOJMJy9,9.11e+17,Hate speech,0.0,y,CA,y
0,38,214,0,0,Sun Aug 10 19:51:13 +0000 2014,,"Venice, FL",Johnny Von Hellmer,948,all black are,black,heimihellmer,Sun Sep 24 19:30:12 +0000 2017,"that's great keep kneeling NFL ,I'm done so sad. All black players are just making the world more racist by this stupid act..",2739300395.0,Hate speech,-0.4767,y,FL,y
0,4,84,0,0,Thu Dec 15 16:37:16 +0000 2016,,"Riverside, NY",Sudoku666,354,all black are,black,Sudoku666,Sun Sep 24 19:12:33 +0000 2017,Fucking black people make me mad y'all will boycott your kids BC you hate their mother/father but not this are you serious!?,8.09e+17,Hate speech,-0.6588,y,NY,y
0,2465,4999,0,0,Sat Jan 28 07:27:36 +0000 2017,,"Michigan, USA",Mary briddelle,22209,all black are,black,mary_briddelle,Sun Sep 24 18:50:13 +0000 2017,"Poor old disabled black muslim
Sports fat women
Gay
Straight
Homophobic
Unsure
Scared
We all are
But what other choice do,u have
Resist???",8.25e+17,Hate speech,0.0,y,MI,y
0,2307,31,1,0,Thu Jun 11 16:23:29 +0000 2009,,"Atlanta, Ga",NEGUS UNO,5985,all black are,black,PaulUnoHunter,Sun Sep 24 18:20:06 +0000 2017,#TakeTheKnee black ppl are fuck stupid frfr all that money and them niggas wanna take a knee,46423674.0,Hate speech,-0.4767,y,GA,y
8,3589,4991,0,1,Mon Aug 31 07:37:37 +0000 2009,47293791.0,Dallas Texas,Me Myself and I,4456,all black are,black,foxania,Sun Sep 24 18:17:16 +0000 2017,@w_terrence Black on black crime doesn't matter..only white on black crime matters to BLM..hypocrites is what they https://t.co/UdDLo6cKOi,70339077.0,Hate speech,-0.34,y,TX,y
0,2346,972,0,0,Mon Apr 06 13:22:12 +0000 2009,,Australia,Miss Khamis,227704,i hate black,black,miss_khamis,Sun Sep 24 23:25:08 +0000 2017,"He is black, 25. If this is a hate crime against christians, I am never supporting black americans again. Damn white-jew sunni puppets",29198219.0,Hate speech,-0.9063,y,,n
0,7,120,0,0,Sat Jan 07 12:46:01 +0000 2017,,,kevin burke ryan,1840,i hate black,black,kevamandaryan4,Sun Sep 24 23:11:28 +0000 2017,the black NFL players proved today their not worth watching anymore. I wish these people that hate this country just would leave.,8.18e+17,Hate speech,0.0,y,,n
0,56420,1600,0,2,Fri Jul 24 14:10:22 +0000 2009,7.95e+17,"Los Angeles, CA",?,191068,i hate black,black,derrickswerve,Sun Sep 24 22:09:09 +0000 2017,@melissaalorin @MustBeCharm yes my dear. I hate the patriots and black coon patriot fans... sorry bro,59791510.0,Hate speech,0.0,y,CA,y
0,4,48,0,0,Sun Aug 06 17:09:10 +0000 2017,,"New Jersey, USA",Pres. of Universe.,15585,i hate black,black,SuperDiehl,Sun Sep 24 20:07:54 +0000 2017,"I am, I'm so sick and tired of the black people. All they do is bully me because I'm white and they hate.",8.94e+17,Hate speech,0.0,y,NJ,y
0,5424,2770,0,2,Mon Jun 14 19:39:15 +0000 2010,88278998.0,"Orlando & Jacksonville, FL",Apex Coture Magazine,125736,i hate black,black,ApexCotureMag,Sun Sep 24 19:14:35 +0000 2017,@AmazingGreg @AdamSchefter Instead of trying to make excuses for your hatred you should just say I hate niggers bc https://t.co/wlNmQgfwga,155668103.0,Hate speech,-0.4767,y,FL,y
1,575,220,0,0,Wed Dec 07 06:59:10 +0000 2011,,LA,Shaun,902,i hate black,black,weloveyoushaun,Sun Sep 24 17:37:23 +0000 2017,I hate black uncle toms. That's the worst kind of human,430486043.0,Hate speech,-0.1027,y,CA,y
1,1608,1964,0,1,Sun Jun 21 02:03:00 +0000 2009,2319339266.0,"Florida, USA",PompanoPete,74636,i hate black,black,Pompanopete,Sun Sep 24 13:37:43 +0000 2017,"@MADE__USA Yes ~ I am a Racist
I HATE STUPIDITY from a Game player!
I am as PROUD of being White as they are of being Black",49194495.0,Hate speech,-0.6124,y,FL,y
0,678,507,0,0,Sun Feb 13 20:37:09 +0000 2011,,"Houston, TX",Icy Serenity ??,9390,i hate black,black,Icymindfreak,Sun Sep 24 06:18:55 +0000 2017,Most people and black celebs hate Trump to be a part of the trend and not get a coon card. I think its... annoying.,251773757.0,Hate speech,0.0,y,TX,y
1,198,55,0,1,Sun Jul 19 02:02:34 +0000 2015,8.15e+17,"Florida, USA",The_ProphetDan,1857,i hate black,black,DanDUN__,Sun Sep 24 00:21:54 +0000 2017,@VStage13V I fuxkin hate all these ignorant niqqas who say stupid and start dumb trends like Black lives matter lik https://t.co/rykmYG2wRf,3283804374.0,Hate speech,0.0,y,FL,y
0,292,105,0,0,Fri May 23 18:10:30 +0000 2014,,"Charlotte, NC",Dale,47224,i hate black,black,Darryl_Vaughn,Sun Sep 24 00:04:39 +0000 2017,YALL FUCKING BLACK I HATE YALL SO MUCH,2518388682.0,Hate speech,0.0,y,NC,y
3,1503,1251,0,0,Sat Mar 12 01:46:59 +0000 2016,,"Stamford, CT",Trump Revolution,56890,i hate black,black,TrumpRevoluti0n,Sat Sep 23 22:13:56 +0000 2017,"Take away all the noise &amp; look at lebron, golden state warriors, Steph, &amp; what do you see? Black people who hate white people is what I see",7.08e+17,Hate speech,0.0,y,CT,y
0,932,999,0,1,Tue Jan 05 15:27:37 +0000 2016,34104616.0,United States,Chief,13611,i hate black,black,roger_brenz,Sat Sep 23 21:26:43 +0000 2017,"@nflcommish Your players are racist and I've boycotted the NFL! The black players hate our flag, President and white people period!",4714230445.0,Hate speech,0.0,y,,n
2,1334,456,0,0,Mon Aug 08 16:33:52 +0000 2011,,DEADWEST | MOST,Craft Beer Papi,27942,i hate all black,black,Mosaicc_,Thu Sep 21 20:49:33 +0000 2017,"Of all the types of twitter, I specifically hate fake woke black feminist twitter.",350988781.0,Hate speech,0.0,y,,n
1,2895,5000,0,0,Tue Nov 27 23:34:12 +0000 2012,,"winnemucca, nv",Randy Durant,11749,i hate all black,black,DurantRandy,Thu Sep 21 16:29:24 +0000 2017,I just talked to 1 Russian and 2 Chines and all 3 said No Black lives matter in their country. Polls say 97% of countries hate Blacks,974967601.0,Hate speech,-0.29600000000000004,y,NV,y
0,34,45,0,1,Sun Aug 06 03:11:10 +0000 2017,16873455.0,"Dallas, TX",TRUMP HATERS GET OUT,895,i hate all black,black,TRUMPHATERSGET4,Sun Sep 17 17:18:39 +0000 2017,@TalbertSwan If your a pastor I'd hate to see any of your congregation! Bet they are all Black Supremacist!Racist B https://t.co/qqAyshR6LI,8.94e+17,Hate speech,-0.4874,y,TX,y
0,892,474,0,0,Tue Mar 27 21:06:04 +0000 2012,,Mobile Al,Slitherhen ?,24673,i hate all black,black,x_hendo_x,Sun Sep 17 00:07:04 +0000 2017,And I hate y'all clown ass black folks don't give at about it either,538481699.0,Hate speech,-0.6124,y,,n
