screen name,user id
TheAntiThirst,142414785.0
potus45ofUSA,7.4e+17
KFennymore,8.66e+17
Merica1861,8.94e+17
WESTCOASTSUMA,177427473.0
dcatspiked,75041951.0
RoxanneRiggs11,8.91e+17
LennyMarks1,486088713.0
thelegitTJ,7.72e+17
twitprisoner,9.11e+17
heimihellmer,2739300395.0
Sudoku666,8.09e+17
mary_briddelle,8.25e+17
PaulUnoHunter,46423674.0
foxania,70339077.0
miss_khamis,29198219.0
kevamandaryan4,8.18e+17
derrickswerve,59791510.0
SuperDiehl,8.94e+17
ApexCotureMag,155668103.0
weloveyoushaun,430486043.0
Pompanopete,49194495.0
Icymindfreak,251773757.0
DanDUN__,3283804374.0
Darryl_Vaughn,2518388682.0
TrumpRevoluti0n,7.08e+17
roger_brenz,4714230445.0
Mosaicc_,350988781.0
DurantRandy,974967601.0
TRUMPHATERSGET4,8.94e+17
x_hendo_x,538481699.0
WWE_ASS_69,7.37e+17
ANTHONEEJ,34513772.0
FishbowlerSorg,15068127.0
imBINGnotGOOGLE,97755288.0
darby_bartley,3046840980.0
robertl95869194,2586624763.0
SarahLouiseSha9,8.95e+17
classyladies8,3876098392.0
Kihzyv2,8.24e+17
_Dr_James,8.76e+17
thenewtribe_,2571743352.0
KrissyMaeJohns1,8.77e+17
Michaeldimino1,8.16e+17
skippybuddy8,7.5e+17
absher_guy,7.49e+17
GUM3Y,8.02e+17
akadatjuicy,938573995.0
hvralts,3714337034.0
jr_swiatek,8.24e+17
CollinLHoward,7.68e+17
bigloser420,8.16e+17
BeachGoys,7.78e+17
williamfytylga,282239628.0
shimon_kach,8.7e+17
CastoPatrick,883402590.0
lporr88,2948538845.0
dontishari,369734030.0
j0eyf1nk,3389390414.0
PC_Opinionated,7.43e+17
yokokudoo,39934905.0
Matthewshanea94,1616112506.0
singleguymike,1396999286.0
AnglsWantSucc,8.69e+17
heftypropaganda,2448146256.0
AngieNi16523238,8.94e+17
CMBogan,46236764.0
gabescott10,8.64e+17
xKnsu,4517581911.0
WatcherRandom,8.26e+17
hadeleke_omo,9.07e+17
parkwaywideput,2851081200.0
NiceGuy504,2442837163.0
Trailltrader,3094663758.0
XBlade13,256226507.0
CineollYT,8.32e+17
TheBoysKillinit,8.92e+17
Su5lime,7.38e+17
SpuddzBuckley,8.81e+17
ShadyAveeee,8.81e+17
JimHumbert2,9.06e+17
winterdrill,9.08e+17
jammy_neutron,363083125.0
Qntkka,28817025.0
mchvllnsm,8.16e+17
Kalder_,8.86e+17
Gabriel3555555,8.47e+17
YvonneAtlas,2266602529.0
WastedTaIent,4242419782.0
jahbuhlondagr8,731460860.0
BrianniT,26410575.0
VincidadianDion,60284539.0
baby_andromedan,8.05e+17
mikes0562,8.26e+17
VegasZay,7.52e+17
yunGloCholla,75176592.0
meldogg64,1061987982.0
itsweeb_freak,165340878.0
BFlylistic,25784865.0
A1SinceDayNone,28414994.0
phillybull87,8.89e+17
glenkae,113796936.0
Ja_feagin,327832117.0
twungcode,9.11e+17
RedBlackGreen92,8.77e+17
blssedbythebest,103451235.0
POVhilariousD,7.53e+17
BullyAssassin,7.3e+17
hfdavis,18350031.0
TheIbrahim_S,609688685.0
__wag_,767813342.0
InFamousFav,39093565.0
Cierra_Mist_,394961082.0
DanielTaylor_4,2303665290.0
IbSkeeAlii,156337112.0
Knewyorksown,39265287.0
kinnadityler_,2796687943.0
_Marinho27,2327526515.0
PotatoesOGrady,24820720.0
Kameron88337375,8.95e+17
Gaear__Grimsrud,3816006674.0
NiesePeyton,8.61e+17
richardjay73,4138030937.0
nikointheburgh,2790456284.0
FTLslacker,24515114.0
JSlayerTeeCho,2802940415.0
PunishedPolok,9.09e+17
PinnacleOfPower,8.78e+17
anthropocon,37248934.0
BannedOrc,9.11e+17
mikejMiami,8.37e+17
Shotgun_Painter,7.58e+17
wonderland449,218143127.0
ChadPlowCIA,9.08e+17
GillardLillian,7.74e+17
ZachWachs,8.29e+17
RonOnealMemphis,8.96e+17
MeriamSusan,7.87e+17
YektaFarid,9.12e+17
jaxteryoung,2844272841.0
ResistRacism79,9.01e+17
CuckCarl,3298234152.0
TradLyf80,8.82e+17
PapillonPride,7.12e+17
iamjohnmerrick,4284416953.0
t14wg,90687103.0
Irish_agrAryan,8.41e+17
DaveGreco33,3185759629.0
zdor17602,516652952.0
BarryRosen1,1395571730.0
KeepOutUSA,8.73e+17
JULY191947,2942219102.0
ryunin69,2466036632.0
CaptioKnight,8.71e+17
Villagejonesy,93780737.0
Madnes2urMethod,127585120.0
CorintheansXIII,1689920359.0
careyrussell45,1932365209.0
AftaPlatinumANT,283332122.0
sam_rothenberg,1287201037.0
sidney_bigham,1916181008.0
DMahler17,8.29e+17
SomewhatSemitic,436427449.0
johnramos91,521458643.0
UHaverbeck,3535919123.0
johndk7,25694578.0
GreekNewsGuy,3366439607.0
AltRightNordic,8.4e+17
angelpingz,1119299306.0
Rodrigoca4,1271292020.0
jckennell,7.93e+17
jtlowe83,249419374.0
funnicegoodkind,2343979981.0
Theservant53,22695396.0
HomoMuslim,7.56e+17
datdankmemeboy3,8.61e+17
NamirYedid,40951758.0
MartinS7504,1004912726.0
1blessedbee,3400737969.0
gortiz5150,18713322.0
brentk716,8.11e+17
hansolinger_,2497759074.0
GennethKrant,8.71e+17
JamesHesky,85457060.0
Project1024,4750281908.0
Stormer_DC,8.9e+17
Mathiasian,75736238.0
jamesmack2988,8.72e+17
netahenry,886429454.0
pashton65,7.17e+17
arbetarbroder,326830914.0
mmheldefrawy,140201736.0
Realtrophywifey,8.3e+17
Northwestfront,63833869.0
NouType,142734103.0
HaskellMeme,8.71e+17
SaveEuropean,8.68e+17
cheridorr,17352940.0
5933_McGhee,4635596660.0
awakentruth37,2944417969.0
GiveMeSprinkles,3273338030.0
Shadowkungfu,7.99e+17
TeaPartyStance,275701123.0
supportourstars,4106782573.0
PatriotsvsBS,7.71e+17
3028976308,31353598.0
simpleman252,8.17e+17
RainmanMcmillin,59388354.0
Nitmenbog1,7.23e+17
a35mmlife,6153732.0
UnrealTalib,512316146.0
commiesona,7.33e+17
StacieSchulz2,7.76e+17
wokeandproud,709094629.0
What_Israel_Is,8.25e+17
DebonairShiva,3112236356.0
MarkSZaidEsq,1711586252.0
Nationalistvetn,8.17e+17
Fry_Gilbert,8.62e+17
TerrinaMajnoona,2230388154.0
KatyaBG,21024975.0
miller21411988,4241941692.0
Sapphire6210,8.48e+17
MathwMoors,2974826115.0
richiefreddy,2389018658.0
ScottRickhoff,317916069.0
parkerrm39,3131587995.0
georgeanton,104740889.0
queerapika,816480408.0
OldeShipmate,8.7e+17
GUANOPSYCHOTIC,385986441.0
TheReal__Hop,139272125.0
defaultaccounta,7.2e+17
betadynamique,8.38e+17
TimMattox,16345682.0
Detroit_Dragon,8.22e+17
WouldCutter,74928508.0
AudreyKirby1488,8.66e+17
JaWilkz,7.09e+17
TheJWQ,34825615.0
allisongeroi,588035789.0
EricDonderoR,2932495695.0
ariodzernbc6,208077015.0
PsychobillyLily,4184372242.0
whoistrip,490499145.0
JBaptisteSay,28711955.0
Ironydhara,8.72e+17
breddy_gud,2875166787.0
warneagle,492815783.0
rhoady9,7.82e+17
MaxKennerly,16369805.0
taylorchris221,7.55e+17
SirajAHashmi,1129762164.0
colovion,15667937.0
speechboy71,113061485.0
OrenKessler,18101696.0
NJSayWhat,336146839.0
kppotatoes,18478514.0
trappedtramp,1139784158.0
bill_of_lefts,319465040.0
rk70534,169670184.0
Trump45awesome,8.23e+17
jlitvlnvla,66576089.0
orbvase,2227000550.0
tateraccount,1371135121.0
DeLeon52842974,1159947138.0
KenanPerry,2155410452.0
FoxDen_Studios,2847688123.0
FrittsJohnny,2546461592.0
MikeColby4,7.09e+17
rassool_ruth,989164422.0
spooloflies,4278761.0
faux_bo,8.91e+17
RussOnPolitics,110466097.0
CarolynDeason,3273079958.0
f2ab16a6f5a04c4,2875438591.0
GoldsteenJoshua,8.63e+17
dysenteryjj,7.82e+17
GAnton88,176177366.0
thetinkerfae,3243933625.0
chadfelixg,17626317.0
LauburuXarma,8.4e+17
Baseless22,7.79e+17
RichardBSpencer,402181258.0
TravisLaPew,856437054.0
Deathtothefilth,1379951695.0
thurisaz17,8.51e+17
Tree_of_Logic,7.52e+17
spressto,24903402.0
fleastinkman2,1063631456.0
BalouGold,881595260.0
syssecserv,23111022.0
JohnColt_,8.06e+17
karendonaldson2,300773836.0
Julie_Weathers,75574857.0
Reusstrade,2348804286.0
SvenjaK88,8.94e+17
TTOURTV,2777105401.0
67tiger3,7.95e+17
Marnssj,2402871253.0
Patriot_Jew,9e+17
new_york_chik,7.55e+17
LuzeRodriguez6,4843803699.0
troonatnoor,62258957.0
autismSJW,8.28e+17
JJPats420,8.41e+17
MelanieNathan1,21175055.0
aurora_g96,169209848.0
porlosmuertos,89769600.0
Beto_In_Austin,521752323.0
alisetteo,8.91e+17
ImJustCeej,34988016.0
sergio_dericks,8.3e+17
Daddy_Ceasar,9.06e+17
sethuels,1395828162.0
blacker_ira,3292145020.0
FailinDemocracy,265041082.0
colbywinters,72181342.0
MildManifesto,8.08e+17
ShinjisMemes,7.59e+17
thegoddesscher,65114198.0
SpazzyKK,149878643.0
Heartbreakdave,58813426.0
TomCairney,172579734.0
Tim10123348,9.01e+17
leboism,17757205.0
JuliaSeymour7,4924873087.0
scubaslayer13,7.59e+17
PrenticeAlvin,358972147.0
1Anson1,1975019880.0
RealOldAtlantic,7.14e+17
neontaster,19217369.0
RossRaffin,7.6e+17
TalibKweli,18511475.0
RebeccaMoraPs23,8.66e+17
jmtham651,8.88e+17
SumErgoMonstro,36689123.0
SadMarchand,820460478.0
jcompany49,711906041.0
BomptonBrotha88,2790069840.0
Dark_Dono,237879885.0
therealEastmon,8.06e+17
maiden_rw,2153374330.0
Wolfsangle13,1495700654.0
fvcknab,8.75e+17
bigguyincharge,4431401782.0
mjosantillanes,586661020.0
frackingzionist,3270212306.0
YourChoiceUK,283646483.0
veryjackie,1438651.0
TonyJFedele,8.82e+17
JeovaniLC,2870823036.0
ahrabik,27055590.0
JudiosMuertos,8.99e+17
luckybastard77,49133703.0
PalladiusM,9e+17
dvdinfatuation,190586896.0
mybruthaskkepa,1325163906.0
Coinblatt,9.08e+17
ScapGoatConserv,7.77e+17
KcGreuter,2388618527.0
BoredLosing,8.27e+17
pkirschner001,2868244773.0
lynchcherie,115152575.0
abusulayman,125851115.0
Josie182,356955765.0
Robertsmithl,615795903.0
_____Donne,163316828.0
bhrtktk,2944234222.0
DjgiovanniNYC1,7.03e+17
Solacetown,38947810.0
nekorug,4529643861.0
tomtomokie,4140818604.0
MendyBoudreaux,7.11e+17
anthony76730120,816641287.0
NathanLC78,8.07e+17
DiagonalDoug,2307195656.0
Cruxtopherred,8.44e+17
Fcukyuocnuu,8.67e+17
Momma4America,274017531.0
AminVasim,310491919.0
chowbok,14871075.0
bastardofhoth,9.04e+17
jkellynyc,168342929.0
jewel_patriot,407507285.0
lilbitdee_,2284032180.0
rose1atte,7.74e+17
SpellmanRick,1713164612.0
kreal,16235375.0
akisstobldadrm,8.27e+17
ashkicker420,8.2e+17
Rvndave,56921720.0
Antitheist72,881232140.0
MattNeas,1126569798.0
Rweber12820,1155980622.0
johnbeckham192,150694675.0
WilliamNSmith3,9.04e+17
RosePer95325830,8.13e+17
BatlinerIst,2555695675.0
reneewoods3,543075699.0
Webb79Dan,8.82e+17
warren9992,3883320854.0
AlexUSMC4ever,8.88e+17
scalpatriot,131746121.0
vonbeasley,480468112.0
DerekNotAway,500403310.0
cjprofessorguy,1923730674.0
AxeforTruth,8.41e+17
PaulCarl12Carl,8.37e+17
k_fitzmaurice,391819397.0
NickSn_Research,8.1e+17
Judyelle1,7.78e+17
GJohnst85338444,8.04e+17
SusanWh66843423,8.08e+17
GamecockSmith,351922291.0
Judywil8888,8.71e+17
ChrisButIer,2495177435.0
greyhound001,7.3e+17
jobbers7,14101483.0
Regi3,49154286.0
JoseD89344985,4262146367.0
swargcoming,2786494571.0
USAkidsFirst,271602903.0
kenecaz,64272430.0
vrgnt123,8.21e+17
KarlVKentucky,8.89e+17
etalkg,4874662638.0
BillCosbyGrape,9.03e+17
Zakarilul,9.06e+17
